EIN,Name
042103562,DANA HALL SCHOOLS
042103578,TRUSTEES OF MOUNT HOLYOKE COLLEGE
042103637,WELLESLEY COLLEGE
042103649,ALUMNAE ASSOCIATION OF SMITH COLLEGE
042103748,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA HADASSAH BOSTON
042103766,FALL RIVER DEACONESS HOME
042103856,GIRL SCOUTS OF CENTRAL AND WESTERN MASSACHUSETTS INC
042103858,YWCA OF WESTERN MASSACHUSETTS
042103968,CAMBRIDGE YOUNG WOMENS CHRISTIAN ASSOCIATION
042104248,GIRLS INCORPORATED OF TAUNTON
042104249,GIRLS CLUB OF GREENFIELD INC
042104250,GIRLS INCORPORATED OF LYNN
042104273,MISS HALLS SCHOOL INC
042104286,YOUTH EMPOWERHOUSE CORP
042104318,HOME FOR AGED WOMEN IN SALEM BROOKHOUSE HOME FOR AGED WOMEN
042104362,JUNIOR LEAGUE OF BOSTON INCORPORATED
042104401,GIRLS INCORPORATED OF GREATER LOWELL
042104435,WOMENS COMMUNITY COMMITTEE INC
042104747,YWCA OF SOUTHEASTERN MASSACHUETTS
042104817,JONAS WILLIS PARMENTER HOME INC
042104868,TAS SACH INC
042105799,VINCENT CLUB
042105817,WELLESLEY COLLEGE ALUMNAE ASSOCIATION
042105842,WINSOR SCHOOL INC
042105852,WOMENS CLUB OF THE BERKSHIRES INC WOMENS CLUB OF THE BERKS HERES JAC
042105860,GIRL SCOUTS OF MONTACHUSETT COUNCIL INC
042105873,YWCA CENTRAL MASSACHUSETTS INC
042105876,YOUNG WOMENS CHRISTIAN ASSOCIATION
042105888,HAVERHILL YOUNG WOMENS CHRISTIAN ASSOCIATION INC
042105894,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC
042105916,NEW ENGLAND FARM AND GARDEN ASSOCIATION INC
042105934,JUNIOR LEAGUE BUDGET BOX
042106333,ST MARGARETS HOSPITAL
042108390,SISTERS OF PROVIDENCE INC
042121343,UNITARIAN UNIVERSALIST WOMENS FEDERATION
042121358,MASSACHUSETTS GENERAL HOSPITAL NURSES ALUMNAE ASSOCIATION INC
042121644,ST HELEN PARISH
042121657,WOMANS FRIEND SOCIETY
042123666,GIRLS INCORPORATED OF WORCESTER
042123678,YOUNG WOMENS CHRISTIAN ASSOCIATION OF NEWBURYPORT
042125009,YOUNG WOMENS CHRISTIAN ASSOCIATION OF MALDEN
042127030,SISTERS OF CHARITY OF OTTAWA ST JOSEPH PROVINCE
042137437,BELMONT WOMANS CLUB
042150651,BIG SISTER ASSOCIATION OF GREATER BOSTON INC
042152598,WELLESLEY STUDENTS AID SOCIETY INC
042159911,ST MARGARET MARY PARISH
042160625,CONGREGATION OF SISTERS OF ST JOSEPH OF BOSTON
042163044,STONELEIGH BURNHAM SCHOOL
042175121,ST LUKES HOSPITAL WOMENS AUXILIARY
042175196,JUNIOR LEAGUE OF BERKSHIRE COUNTY INC
042178889,GLADYS ALLEN BRIGHAM COMMUNITY CENTER INC
042195415,JUNIOR LEAGUE OF WORCESTER INC
042202842,MARY MOTHER OF HOPE PARISH MARY MOTHER OF HOPE PARISH
042212181,CONGREGATION OF SISTERS OF DIVINE PROVIDENCE
042218584,CONGREGATION OF SISTERS OF ST JOSEPH OF SPRINGFIELD
042225821,SHELBURNE FALLS AREA WOMENS CLUB BRIDGE OF FLOWERS
042239449,PARTNERS HEALTHCARE SYSTEM INC FRIENDS OF THE BRIGHAM AND WOMENS HOS
042258361,DEDHAM WOMENS EXCHANGE INC
042260018,LITTLE SISTERS OF THE POOR OF GREATER BOSTON INC JEANNE JUGAN RESIDENCE
042262664,SISTERS OF THE PRESENTATION OF MARY INC
042276809,MASSACHUSETTS CITIZENS FOR CHILDREN INC MASSACHUSETTS COMMITTEE
042279317,WELLESLEY COLLEGE ALUMNAE ASSOCIATION NEW JERSEY WELLESLEY CLUB
042294551,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 000 000 90000720 NORTHERN NEW EN
042308758,MASSACHUSETTS PROTESTANT SOCIAL SERVICES INC
042312909,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM AND WOMENS HOSPITAL INC
042313043,LITTLE MISSIONARY SISTERS OF CHARITY INC
042321292,PINE MANOR COLLEGE
042472747,WOMENS SERVICE CLUB INC
042475363,HEALTHQUARTERS INC
042475862,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC UPTON WOMANS CLUB
042495169,BAYRIDGE RESIDENCE AND CULTURAL CENTER INC BAYRIDGE RESIDENCE
042500577,FAMILY PLANNING COMMITTEE OF GREATER FALL RIVER INC
042557022,NEW BEDFORD WOMENS CENTER INC THE WOMENS CENTER
042577609,ACTON MASSACHUSETTS WOMENS CLUB INC
042578752,DOROTHY BRUNO HILLS TENNIS LEAGUE INC
042582187,ROSIES PLACE INC
042584551,ELIZABETH FREEMAN CENTER INC
042596729,BOSTON INSTITUTE FOR THE DEVELOPMENT OF INFANTS AND PARENTS
042597673,CATHOLIC DAUGHTERS OF THE AMERICAS 987 ST JOHN EUDES
042597799,CARE NET PREGNANCY RESOURCE CENTER OF NORTH CENTRAL MASSACHUSETTS INC
042599407,DIVORCE RESOURCE AND MEDIATION CENTER INC
042599804,RACIAL UNITY NOW INC
042600429,PRO LIFE LEGAL DEFENSE FUND INC
042602112,RAINBOW CAMP OF MASSACHUSETTS INC E CAROL K MILNE PRESIDENT
042602960,NATIONAL SOCIETY DAUGHTERS OF COLONIAL WARS INC MASSACHUSETTS SOCIETY
042607241,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 002 000 90000721 NASHOBA VLY HAD
042616114,FAMILY AND COMMUNITY RESOURCES INC
042616922,NEW ENGLAND LEARNING CENTER FOR WOMEN IN TRANSITION INC N E LEARNING CENTER
042620053,LEAGUE OF CATHOLIC WOMEN OF LOWELL
042621292,WELLESLEY COLLEGE ALUMNAE ASSOC 1977 CLASS
042622674,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SOUTH SHORE
042622898,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC GREATER SOUTH HADLEY
042622986,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC CAPE COD
042623003,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC FRANKLIN COUNTY
042623010,LA LECHE LEAGUE INTERNATIONAL INC LESLIE DIORIO
042624722,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC NORTHBOROUGH JR WOMANS CLUB
042625710,CASA MYRNA VASQUEZ INC
042627415,NEW BIRTH CHRISTIAN CHURCH INC
042628410,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC WESTERN SUBURBS
042631789,TRANSITION HOUSE INC
042633283,LEAGUE OF WOMEN VOTERS OF BROOKLINE SARA K WALLACE FUND
042636553,DAUGHTERS OF BILITIS INC
042636979,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTH CENTRAL MASS ID 669
042639215,BILLERICA GIRLS SOFTBALL ASSOCIATION INC
042641668,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC LUNENBURG WOMANS CLUB
042642981,HINGHAM GIRLS ATHLETIC LEAGUES INC
042646413,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SPRINGFIELD
042648411,ABBY KELLEY FOSTER HOUSE INC
042650532,BATTERED WOMENS RESOURCES INC
042650764,RADCLIFFE CHORAL SOCIETY INC HOLDEN CHAPEL
042653000,LA LECHE LEAGUE INTERNATIONAL INC LLL BEVERLY
042654452,WELLESLEY COLLEGE ALUMNAE ASSOC 1978 CLASS
042655367,HEALING ABUSE WORKING FOR CHANGE INC
042661054,WOMEN IN TRANSITION INC ALTERNATIVE HOUSE
042664530,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1982 CLASS OF
042666853,NEW ENGLAND BAPTIST HOSPITAL SCHOOL OF NURSING ALUMNAE ASSOCIATION INC
042667808,DOVE INC
042668765,MONTROSE FOUNDATION INC
042673835,LEBANESE SYRIAN LADIES AID SOCIETY
042675196,MASSACHUSETTS FEDERATION OF POLISH WOMENS CLUBS INC
042675718,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1981 CLASS OF
042676138,JANE DOE INC A MASSACHUSETTS COALITION AGAINST SEXUAL ASSUALT
042679358,REPRODUCTIVE EQUITY NOW FOUNDATION INC
042681340,NEW HOPE INC
042681753,KEYSTEPS INC
042683153,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1983 CLASS OF
042684933,BIRTHRIGHT OF FRAMINGHAM INC
042688422,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ABIAH FOLGER FRANKLIN DAR
042688635,VALLEY WOMENS MARTIAL ARTS INC
042690131,SAFE PASSAGE INC
042691505,WOMEN MILITARY AVIATORS INC
042692234,NEWTON GIRLS SOCCER INC
042692315,C A CATHOLIC SISTERS OF THE IMMACUL ATE CONCEPTION INC
042695126,COMMUNITY OF THE SISTERS OF ST ANNE COMMUNITY OF THE SISTERS OF ST ANNE
042696339,POR CRISTO INC
042698497,PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS INC
042700587,ARNOLD L ANDERSON HOUSE INC KATHLEEN OBRIEN
042703281,GIRL SCOUTS OF EASTERN MASSACHUSETTS INC
042705386,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1963 CLASS OF
042706048,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1950 CLASS OF
042707837,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1970 CLASS OF
042708648,HOME SPACE INC
042711694,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1984 CLASS OF
042713460,LEAGUE OF WOMEN VOTERS OF BOSTON CHARITABLE TR
042714212,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1975 CLASS OF
042714930,MASS CITIZENS FOR LIFE CHARITABLE TR
042716665,INDEPENDENCE HOUSE INC
042716766,ALIANZA DV SERVICES INC
042717679,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1978 CLASS OF
042718077,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101006 HAVERHILL MERRIMACK VALLEY M
042722201,WOMEN FOR ECONOMIC JUSTICE
042722858,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1943 CLASS OF
042730523,INCESTRESOURCES INC
042731208,LITTLE SISTERS OF THE POOR HOUSING FOR THE ELDERLY INC
042732721,THE CENTER FOR HOPE AND HEALING INC
042733078,WOMENS INSTITUTE FOR HOUSING AND ECONOMIC DEVELOPMENT INC
042734202,LES DAMES D ESCOFFIER BOSTON INC
042734584,PATHWAYS FOR CHANGE INC
042735449,REACH BEYOND DOMESTIC VIOLENCE INC
042738443,MASSACHUSETTS WOMENS POL CAUCUS LEADERSHIP DEV EDU AND RESEARCH FND
042738887,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1964 CLASS OF
042745111,BIRTHRIGHT OF AMHERST AREA INC
042748244,GIRLS INC OF THE VALLEY
042751386,HARBOR ME INC
042753418,WOMEN TRANSFORMING COMMUNITIES
042753429,MUJERES UNIDAS AVANZANDO INC
042759640,THE MOTHER CONNECTION INC
042760285,NATIONAL SOCIETY OF NEW ENGLAND WOMEN ABIGAIL ADAMS COLONY
042763747,WOMEN OUTDOORS INC
042765228,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 306 000 90002018 EASTON MANSFLD
042767431,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1977 CLASS OF
042767437,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC PAST CHAIRMANS CLUB
042768201,SISTERS OF NOTRE DAME DE NAMUR GENERALATE RALATE
042768256,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM AND WOMENS FAULKNER HOSPITAL
042781134,PROBLEM PREGNANCY OF WORCESTER INC
042784585,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1965 CLASS OF
042786802,WALPOLE GIRLS SOCCER BOOSTERS ASSOCIATION INC
042788207,LA LECHE LEAGUE INTERNATIONAL LLL BROCKTON ID 720
042790934,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC METROWEST PARENTS OF MULTIPLES
042791260,WOMEN IN FILM AND VIDEO NEW ENGLAND CHAPTER INC
042791333,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1980 CLASS OF
042793698,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY COLLEGE CLUB OF SAN DIEGO
042793702,WELLESLEY COLLEGE ALUMNAE ASSOC CENTRAL FLORIDA WELLESLEY CLUB
042793703,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF TAMPA BAY
042793704,WELLESLEY COLLEGE ALUMNAE ASSOC NAPLES WELLESLEY CLUB
042793705,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN THE PALM BEACHES
042793706,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF HAWAII
042793709,WELLESLEY COLLEGE ALUMNAE ASSOC INDIANAPOLIS WELLESLEY CLUB
042793714,WELLESLEY COLLEGE ALUMNAE ASSOC NEBRASKA WELLESLEY CLUB
042793718,WELLESLEY COLLEGE ALUMNAE ASSOC ALUMNAE CLUB OF GREATER CHARLOTTE
042793719,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN NORTHEAST PA
042793720,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF READING
042794855,BETH ISRAEL HOSPITAL OBSTETRICS AND GYNECOLOGY FOUNDATION INC
042797717,LA LECHE LEAGUE INTERNATIONAL LLL BELMONT
042797948,SOCIETY OF WOMEN ENGINEERS BOSTON SECTION
042814723,MILLBURY GIRLS SOFTBALL LEAGUE
042819058,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1985 CLASS OF
042830761,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETS INC GFWC DEDHAM JUNIOR WOMENS CLUB
042867965,HOUSE OF HOPE INC
042892353,HELEN S AARON EDUCATIONAL TR LEAGUE OF WOMEN VOTERS OF CAPE COD AREA
042898479,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC PLYMOUTH PARENTS OF TWINS CHAPTER
042898870,VOTER EDUCATION FUND OF THE LEAGUE OF WOMEN VOTERS OF BELMONT BELMONT VOTER EDUCATION FUND
042899822,WGAM JUNIOR SCHOLARSHIP FUND INC
042900116,HOUSING AND ECONOMIC RESOURCES FOR WOMEN INC
042900621,SOCIAL JUSTICE FOR WOMEN INC
042900881,SPRINGFIELD MOTHERS AND INFANTS TO TEENS HEALTH SYSTEM INC
042921324,ADOPTIONS WITH LOVE INC
042921338,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM INC
042921891,LA LECHE LEAGUE INTERNATIONAL INC LLL TOPSFIELD
042931104,THE MARGARET FITZGERALD GROGAN PETERSMEYER FOUNDATION INC
042932613,FRIENDS OF THE UNBORN INCORPORATED
042943746,SWEDISH WOMENS EDUCATIONAL ASSOCIATION BOSTON
042947253,WOMAN IN BUSINESS INC
042952746,THE WOODWARD SCHOOL FOR GIRLS INC WOODWARD SCHOOL
042952880,LA LECHE LEAGUE INTERNATIONAL INC LLL BOSTON ID 725
042962882,COMMUNITY ADOLESCENT RESOURCES AND EDUCATION CENTER INC
042964026,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1987 CLASS OF
042965686,LA LECHE LEAGUE INTERNATIONAL INC LLL CAPE ANN
042966217,SHOWA BOSTON INSTITUTE FOR LANGUAGE AND CULTURE
042966563,DAUGHTERS OF ST PAUL CONVENT
042966892,WELLESLEY COLLEGE ALUMNAE ASSOC 1987 CLASS
042974983,BOSTON AREA RAPE CRISIS CENTER INC
042981073,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC MONTACCHUSETT MOM
042984699,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTHAMPTON
042986802,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 760 000 90000744 LYNN SWAMPSCOTT
042999852,SURVIVORS INC
043015140,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1959 CLASS OF
043023706,ASSOCIATION FOR WOMEN IN SLAVIC STUDIES
043030955,CANADIAN WOMENS CLUB OF BOSTON INC
043031878,LITTLE LEAGUE BASEBALL INC 2211103 HOPKINTON LL
043034881,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 592 000 90000955 PLYMOUTH
043038369,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 128 000 90000946 CHARLES RIVER
043045822,LA LECHE LEAGUE INTERNATIONAL INC LLL AMHERST MA
043049513,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC MMOTA FOUNDING CHAPTER
043050360,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 108 000 90000943 BROCKTON
043054871,BIRTHRIGHT OF FALMOUTH
043059643,IRANIAN WOMENS STUDIES FOUNDATION INC
043062901,TEEN VOICES INC
043065163,CREATIVE ALLIANCES INC
043067465,BOSTON UNIVERSITY OBSTETRICS AND GYNECOLOGY FOUNDATION INC
043070954,MARBLEHEAD YOUTH HOCKEY ASSOCIATION INC
043074745,WOMENS COMMUNITY CANCER PROJECT
043077273,MINISTRY DEVELOPMENT CENTER FOR WOMEN RELIGIOUS INC
043082050,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1990 CLASS OF
043091048,FIRST CONCERN PREGNANCY RESOURCE CENTER INC
043094016,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION AARON GUILD DAR
043095401,HARMONY INC WOMEN OF NOTE
043096386,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1989 CLASS OF
043099132,WOMENS CLUB OF NORWELL INC
043103354,ASIAN TASK FORCE AGAINST DOMESTIC VIOLENCE INC
043103404,LIFE SAVER MINISTRIES INC
043105708,HELLENIC WOMENS CLUB INC
043106756,ARUNA PARTNERSHIP INC
043113182,ARMENIAN INTERNATIONAL WOMENS ASSOCIATION INC
043116558,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 286 000 90002395 GREENFIELD
043123255,PROJECT LIFE INC
043123474,MASSACHUSETTS ASSOCIATION OF INTERDENOMINATIONAL WIVES AND
043129115,UNITARIAN UNIVERSALIST WOMENS HERITAGE SOCIETY
043132500,WOMENS INSTITUTE FOR LEADERSHIP DEVELOPMENT INC
043132804,MOTHERS CLUB OF HADLEY INC
043132993,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 118 000 90000945 CAPE COD
043139698,BELLINGHAM GIRLS SOFTBALL ASSOCIATION BGSA
043141104,WELLESLEY COLLEGE ALUMNAE ASSOC 1991 CLASS
043143173,BETTY TAYMOR FUND FOR THE EDUCATION OF WOMEN IN POLITICS AND GVMT INC
043144053,MASSACHUSETTS BREAST CANCER COALITION INC
043148742,ANDOVER GIRLS SOFTBALL LEAGUE
043150530,YARMOUTH DENNIS YOUTH HOCKEY ASSOC INC
043153196,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 901 000 90000961 SOUTH COASTAL
043154445,THE R O S E FUND INC
043156468,LA LECHE LEAGUE INTERNATIONAL INC LLL QUINCY MILTON ID 724
043158270,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC HOLLANDETTE CLUB
043161168,LOST COIN WOMANS FUND INC
043161486,COLLEGE WOMENS CLUB OF CAPE ANN
043162894,WESTON REHABILITATION ASSOCIATES INC
043163180,MOTHER CAROLINE ACADEMY AND EDUCATION CENTER
043165640,THE AFFIRMATION CENTER INC
043165779,DENNIS MCLAUGHLIN HOUSE OF CHARLES TOWN TRADITIONAL HSING PRGM FOR WM
043169631,MA AYAN INC
043171592,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BOSTON TEA PARTY DAR
043172552,CONTINENTAL SOCIETY DAUGHTERS OF INDIAN WARS INC MASSACHUSETTS STATE SOCIETY
043176147,WELLESLEY COLLEGE ALUMNAE ASSOC 1992 CLASS
043178763,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTH CENTRAL BERKSHIRES
043178923,WELLESLEY COLLEGE ALUMNAE ASSOC 1988 CLASS
043179955,HELPING OUR WOMEN INC
043180778,TEWKSBURY GIRLS SOFTBALL INCORPORATED
043183563,LA LECHE LEAGUE INTERNATIONAL INC LLL ANDOVER ID 727
043192141,WELLESLEY COLLEGE ALUMNAE ASSOC 1993 CLASS
043194360,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1993 CLASS OF
043195325,PARTNERS HEALTHCARE SYSTEM INC FAULKNER BREAST CENTRE
043198788,LA DONNA MUSICALE INC
043201637,HEALTHY CHILDREN PROJECT INC
043201844,ST MARYS CENTER FOR WOMEN AND CHILDREN
043206301,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC ATTLEBORO TAUNTON AREA MOT
043209013,LAKEVILLE AREA MOTHERS CLUB INC
043210368,NORTH SHORE HELLENIC WOMENS GUILD INC
043210469,SISTERS OF NOTRE DAME DE NAMUR UNITED STATES EAST WEST PROVINCE SISTERS OF NOTRE DAME DE NAMUR UNIT
043212264,VETERANS LEGAL SERVICES INC
043213321,SELF ESTEEM BOSTON EDUCATIONAL INSTITUTE INC
043218134,WEYMOUTH GIRLS BASKETBALL INC
043219257,CHINESE WOMENS ASSOCIATION OF NEW ENGLAND
043220139,ETHIOPIAN EDUCATION AND DEVELOPMENT CONSORTIUM INC
043220314,HEARTBEAT CRISIS PREGNANCY CENTER
043220484,WOMENS INSTITUTE REALTY INC
043220996,BAY STATE GIRLS SOFTBALL INC
043225619,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1994 CLASS OF
043226700,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC MHFP
043228055,WOMENS BAR FOUNDATION OF MASSACHUSETTS INC
043236184,FRANCISCAN SISTERS OF THE IMMACULATE CONCEPTION
043236664,COMMITTEE FOR THE EQUALITY OF WOMEN AT HARVARD INC
043236982,NATIONAL NETWORK OF ABORTION FUNDS
043237106,SILENT SPRING INSTITUTE INC
043238636,BPW BCEC INC
043240550,DEANAS EDUCATIONAL THEATER INC
043244632,CEDAR WOOD FOUNDATION INC STACEY MARIA D
043247061,BAIS YAAKOV OF BOSTON INC
043249673,WELLESLEY COLLEGE ALUMNAE ASSOC 1994 CLASS
043250836,NEWBURYPORT GIRLS BASKETBALL ASSOCIATION LTD
043251617,SOMERSET BERKLEY SOFTBALL LEAGUE
043254116,DARTMOUTH GIRLS LITTLE LEAGUE INC
043255938,CATHOLIC DAUGHTERS OF THE AMERICAS 2396 OUR LADY OF LOURDES
043256048,CATHOLIC DAUGHTERS OF THE AMERICAS 2395 OUR LADY OF KNOCK
043256236,CENTER FOR WOMEN AND ENTERPRISES INC
043261067,MASSACHUSETTS WOMEN IN PUBLIC HIGHE R EDUCATION INC
043266589,RESOLVE OF THE BAY STATE INC DBA RESOLVE OF NEW ENGLAND
043267287,FRIENDS OF GRANDMOTHERS GARDEN INC
043268599,ASSOCIATION OF HAITIAN WOMEN INC AFAB
043278546,CATHOLIC DAUGHTERS OF THE AMERICAS 2410 ST BERNADETTE
043280390,THE ELLIE FUND
043282976,WELLESLEY COLLEGE ALUMNAE ASSOC 1995 CLASS
043283392,WORCESTER COUNTY CRUSH
043286531,WOMEN ENCOURAGING EMPOWERMENT INC
043290689,ON THE RISE INC
043293188,JEWISH WOMENS ARCHIVE INC
043293694,MELROSE ALLIANCE AGAINST VIOLENCE
043294713,WORCESTER WOMENS HISTORY PROJECT INC
043296952,GLOUCESTER FISHERMANS WIVES DEVELOPMENT PROGRAMS INC
043297646,BOSTON TRADESWOMENS NETWORK
043298538,PROVIDE INC
043300490,HOUSE OF PEACE AND EDUCATION INC
043306021,CAPE COD WAVES GIRLS ICE HOCKEY INC
043306919,WOMENS SUCCESS NETWORK
043312358,MOTHER OF PEACE AND GRACES PILGRIMAGES INC
043318359,LA LECHE LEAGUE INTERNATIONAL INC LLL MARLBOROUGH
043321139,HELP US GET SAFE INC
043323317,BOSTON BLACK WOMENS HEALTH INSTITUTE INC
043325157,MADONNA DEL SOCCORSO DE SCIACCA WOMENS SOCIETY OF BOSTON INC
043327968,RIVERBROOK RESIDENCE INC
043330098,SINGLE MOTHERS INITIATIVE INC
043334254,FINANCIAL RESOURCES FOR WOMEN AND CHILDREN INC
043338801,ISLAMIC MULTI SERVICE ORGANIZATION INC
043341645,PORTAL TO HOPE
043342411,WOMENS FUND OF WESTERN MASSACHUSETTS
043353648,GLOBAL WOMENS HISTORY PROJECT INC
043353852,ALEWIFE NEIGHBORS INC
043355838,STURBRIDGE GIRLS SOFTBALL LEAGUE INC
043358624,MASSACHUSETTS BREASTFEEDING COALITION INC
043361590,ON BOARD INC
043365888,LEICESTER GIRLS SOFTBALL LEAGUE
043366190,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1997 CLASS OF
