"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
010569736,WOMENS RESTORATIONS AND DELIVERANCE MINISTRIES INC
010575746,SAINT GIANNAS HOME INC
010577001,MEDICAL NETWORK FOR EDUCATION AND RESEARCH INC
010577105,WARM PROJECT FOUNDATION
010577653,LADIES AUXILIARY OF THE NAVESINK HOOK AND LADDER CO 1 OF NAVESINK NJ
010578709,WOMENS ENEWS INC
010581589,PROMINENT WOMEN MINISTRIES
010582986,JOHNSTON GIRLS SOFTBALL ASSOCIATION
010584372,BLACK WOMEN OF ESSENCE INC
010586932,AMERICAN INDIAN MOTHERS INC
010588883,AMERICAN WOMENS YACHT RACING INC
010595450,VISITATION HOUSE INC
010595832,FORT WORTH DALLAS BIRTHING PROJECT
010599150,REACHING U A FOUNDATION FOR URUGUAY
010599364,ZONTA CLUB OF GRANTS PASS OREGON FOUNDATION
010601839,WHITE MOUNTAIN WOMANS CLUB
010609070,RUSH COUNTY VICTIM ASSISTANCE INC
010614863,WOMEN OF AT AND T ILLINOIS WOA IL
010620100,BNOS RIVKA INC
010622078,MUSLIM WOMENS COALITION
010624452,MOTHER OF SORROWS MINISTRIES INC
010628076,GIRLS ON THE RUN OF SILICON VALLEY INCORPORATED
010628124,LATINA BREAST CANCER AGENCY
010629384,SOUTHERN CALIFORNIA PUMAS
010630178,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 20 291 000 90002006 MAYIM HADASSAH
010631373,EXILES WOMAN TO WOMAN
010631614,EAST ORANGE CATHOLIC HIGH SCHOOL ALUMNAE ASSOCIATION INC
010633520,PINK PROJECT INC
010635851,THE VINE PREGNANCY CENTER
010638529,INTERNATIONAL CERTIFICATION AND EDUCATIONAL ACCREDITATION
010638874,WEST TENNESSEE WOMENS CONFERENCE
010640040,NORTHFIELD MOTHERS LEAGUE INC
010648011,GEM TRANSITITONAL HOUSING FOR EX OFFENDER WOMEN
010656131,THE SAI HUMANITARIAN INSTITUTE OF SAIHIOLAH FOUNDATION
010656610,SISTERS NETWORK SISTERS NETWORK LAS VEGAS
010664071,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ASTHON SOSI DAR
010665556,WOMAN 2 WOMAN MINISTRIES INC
010667129,LITTLE PRINCESS FOUNDATION
010668736,WITNESS PROJECT OF CONNECTICUT INC
010677851,LA LECHE LEAGUE OF THE UNITED STATES LLL HACKETTSTOWN
010679652,ACTS COMMUNITY DEVELOPMENT CORPORATION RACHELS JOY MATERNITY HOME CONEY IS
010682176,STEPH KENNEY CREATIVE ARTS SCHOLARSHIP FUND
010683269,GREATER WORKS OUTREACH
010684273,SHEEP INC
010685061,CRISIS NURSERY OF GREATER ROCHESTER INC
010686191,4TH STREET BASEMENT BOUTIQUE
010694045,FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION FLORIDA BREAST CANCER FDN INC
010694058,NEW LIFE FAMILY WORSHIP CENTER OF PITTSBURGH
010694375,LA LECHE LEAGUE INTERNATIONAL INC LLL DURHAM PM
010694877,WOMENS THEATRE PROJECT INC
010697523,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 20 298 000 90002011 GOLDA LEAH
010697752,OTHER CARPENTER
010697940,WOMEN IN PROGRESS INC
010700196,WEST CENTRAL LEARNING ACADEMY II INC EDA
010700955,SOCIETY OF WOMEN ENGINEERS NEW YORK STATE CAPITAL DISTRICT
010701007,BEL AIR WOMANS CLUB INC
010701952,VIRTUOUS WOMEN FOUNDATION
010702336,WOMEN IN TRANSITION INC
010704661,SAFE HARBOR OUTREACH CENTER INC
010709883,NAOMIS HOUSE
010711176,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC MT HOLYOKE CLUB OF CHARLOTTE
010713126,NORTH RIVER CARE INC
010714556,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 115335 CENTRAL SOLANO COUNTY CA
010722568,CROSSROADS PREGNANCY RESOURCE
010724189,NEW LIFE FAMILY PRAYER CENTER
010724516,ORGANIZACION DE IGUAIDAD DE DERECHOS
010724575,NATIONAL CHARITY LEAGUE VISTA OAK CHAPTER
010727680,ALL GROWN UP INC
010727702,PREGNANCY SUPPORT CENTER
010727971,UNITED DAUGHTERS OF THE CONFEDERACY 2512 BEATTIES FORD RIFLES
010731740,IRENES CHRISTIAN ACADEMY INC
010731855,FRESH START YOUTH SERVICES INC MOLLIES HOUSE
010739397,IOWA CITY JUNIOR SERVICE LEAGUE
010741733,INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC
010742379,NORTH REGION PREGNANCY CARE CENTER
010744137,LA LECHE LEAGUE INTERNATIONAL INC LLL ROCHESTER MI
010744190,WOMEN IN CRISIS OUTREACH MINISTRY
010744710,BLANCHESTER PREGNANCY RESOURCE CENTER INC
010754580,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 115426 SI OF YOKAYO SUNRISE CA
010757051,MOTHERS OF MILITARY SUPPORT INC
010759861,ARLINGTON GIRLS SOFTBALL ASSOCIATION
010761652,BIG SISTERS IN ACTION INC
010766423,RENO HEAT GIRLS SOFTBALL ASSOCIATION
010767549,TRAVIS COUNTY WOMEN LAWYERS FOUNDATION
010768713,DAUGHTERS OF ESTHER FELLOWSHIP INTERNATIONAL MINISTRIES INC TREE OF LIFE FAMILY ENRICHMENT CENT
010769348,DAUGHTERS OF DELIVERANCE INC
010770273,LITTLE SISTERS OF THE ASSUMPTION FAMILY IN MISSION INC
010772839,HOMES OF HOPE INC
010773765,SISTERHOOD INC
010779185,HARVARD BLACK ALUMNI ALUMNAE SOCIETY INC
010788370,WOMEN OF TRUTH MINISTRIES INC
010790908,H E R WEEKEND INC
010792931,BROWARD WOMENS EMERGENCY FUND INC BROWARD WOMENS EMERGENCY FUND INC
010793653,GIRL S NIGHT OUT BREAST CANCER FOUNDATION
010793953,LAKE BOWEN CHURCH CHILD DEVELOPMENT CENTER
010794119,WILL COUNTY TAKE BACK THE NIGHT NFP
010794397,EASTERN PINAL REGIONAL COALITION AGAINST DOMESTIC VIOLENCE
010798928,PINKNEYS VINEYARD OF FAITH MINISTRIES
010799235,LATINA COALITION OF SILICON VALLEY
010799951,TIGARD BLAST FASTPITCH SOFTBALL ASSOCIATION
010800756,DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR 1861 1865 40 WASHINGTON TENT
010800900,SOULFUL GOLF
010803393,TEEN EMPOWER INC
010810305,CALIFORNIA PROFESSIONAL WOMENS ASSOCIATION INC
010810817,THE SCHOOL OF THE IMMACULATA INC
010815546,HEALTHY WELL BALANCED WOMEN IN CHRIST MINISTRIES INC
010815623,TOP LADIES OF DISTINCTION INC LINCOLN PARK CHICAGO
010816975,BELLEVUE GIRLS BASKETBALL BOOSTER CLUB
010817597,GENERAL FEDERATION OF WOMENS CLUB GFWC CAPITAL WOMANS CLUB
010819118,WHOLE WOMAN INCORPORATED
010819660,BLUE STAR MOTHERS OF AMERICA INC 8 CHAPTER EDMOND
010819839,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 PUSHMATAHA CHAPTER
010822741,J STROKE VOLLEYBALL CLUB
010823631,VINE OF GRACE RETREAT MINISTRY INC
010831976,BECOMING AN OUTDOORS WOMAN CALIFORNIA INC BOW CALIFORNIA
010832765,W I N N E R S
010834673,WOMEN OF TRANSFORMATION
010838125,SAFE FAMILY MINISTRIES
010843007,CENTRAL TEXAS PREGNANCY CARE CENTER INC
010843907,CENTER FOR WOMAN AND CHILDREN EMPOWERMENT
010844762,NGATHA INTERNATIONAL
010845098,LIFE EMPOWERMENT COMMUNITY OUTREACH
010848432,AMATEUR ATHLETIC UNION OF THE UNITED STATES MISSOURI VALLEY AAU GIRLS BASKETBAL
010848553,COLORS OF THE WORLD INC
010851394,WINGS WOMEN IN GODS SERVICE
010851519,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ONAGOMINGKWAY DAR
010855951,WOMENS ON THE MOVE OUTREACH MINISTRIES
010857364,WOMEN EYE INCORPORATED
010859791,WOMANOLOGY INC
010865956,EMPOWER INTERNATIONAL MINISTRIES
010868044,DEW 4 HIM MINISTRIES INC
010868754,NATIONAL ASSOCIATION OF NEGRO BUSIN ESS AND PROFESSIONAL WOMENS C MAUMEE BAY CLUB
010868876,WOMEN OF WORTH TRANSITIONAL HOUSE W O W HOUSE
010869021,ZETA PHI BETA SORORITY UPSILON OMICRON ZETA
010870599,ENGAGE LIFE INSTITUTE
010870774,VIRTUOUS WOMEN IN SISTERHOOD INC
010872582,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 06 530 000 90002149 TRI CITY
010876132,GIRLS OF GRACE YOUTH ORGANIZATION GIRLS OF GRACE YOUTH CENTER
010876421,CATHOLIC DAUGHTERS OF THE AMERICAS 2579 ST LOUIS
010877614,HEART CHANGE MINISTRIES INC
010879486,NATIONAL WILD TURKEY FEDERATION INC KENTUCKYS FIRST LADIES KY
010879515,NATIONAL WILD TURKEY FEDERATION INC ROCHESTER WOMEN MN
010881525,FIELDS OF DIAMONDS HOUSE OF BLESSINGS
010882367,AWAKENINGS REENTRY PROGRAM FOR WOMEN
010884670,RISING ADVANTAGE FOUNDATION INC
010886166,CHOSEN WOMEN OF GOD KANSAS CHAPTER
010887732,INTERNATIONAL UPPER CERVICAL PATIENT ADVOCATES ASSOCIATION IUCPAA
010889118,SOUTH FLORIDA DAY OF CARING INC DAY OF CARING FOR BREAST CANCER AWA
010890134,MY SISTERS PLACE INC
010890697,WOMEN ENJOYING LIVING LIFE INC W E L L
010892519,SAVE A SURVIVORS SMILE INC
010895410,SAN DIEGO CHINESE AMERICAN WOMEN S LEAGUE
010900767,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 33 606 000 90002207 LENOX HILL
010901343,GIRLS ON THE RUN SIERRAS
010902338,EXCELL FOR WOMEN INC
010902613,PLANNED PARENTHOOD SERVICES OF GREATER ORLANDO INC
010902629,CLARK NEVADA LEGACY MEADOWS COMPANY DAUGHTERS OF THE UTAH PIONEERS
010903436,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 33 644 000 90002222 SHATIL
010903566,DAUGHTERS OF ZELOPHEHAD CENTER FOR FINANCIAL LITERACY
010905110,BLUE STAR MOTHERS OF AMERICA INC 6 ST JOE VALLEY BSM IN
010905971,MAIN STREET MINISTRY ASSOCIATION
010906342,BLUE STAR MOTHERS OF AMERICA INC 1AL BSM OF ALABAMA
010908962,INTERNATIONAL SOCIETY DAUGHTERS OF UTAH PIONEERS UTAH PROVO COMPANY
010910365,GLOBAL RELIEF CENTER
010911010,WANA DUMA CHILDRENS PROJECT
010911394,A WOMAN HAND IN HAND
010912004,HEARTS TO HANDS WOMEN SHELTER
010913713,FEMALE VETERANS RESOURCE CONNECTION INC
010916669,MARY S ROOM
010917628,CATHOLIC DAUGHTERS OF THE AMERICAS 2610 ST RITA
010918577,NEEBISH WOMENS COMMUNITY GROUP INC
010919776,INTERNATIONAL CONGRESS OF CHURCHES AND MINISTERS START NOW INSTITUTE
010920750,BETA MU CHAPTER OF LAMBDA PI ALPHA SORORITY
010926401,JOY SOCIETY
010926616,COMPASSION 2 ONE
010926756,DAUGHTERS OF ESTHER FELLOWSHIP INTERNATIONAL MINISTRIES INC REACH 1 INC
010930190,GREEN BAY EXPLOSION GIRLS FAST PITCH SOFTBALL
010930529,WOMEN COMMITTED TO SUCCESS
010932909,CATHOLIC LADIES RELIEF SOCIETY 5
010933426,BAG LADIES
010934160,THE NEW YORK MILK BANK INC
010935304,EDNA B AND JOYCE FAY WASHINGTON BREAST CANCER FOUNDATION
010936001,CIRCLE OF LOVE EMPOWERS WOMEN AND GIRLS INC
010937679,WOMEN IN THE BLACK NEW YORK INC WOMEN IN THE BLACK
010937994,MONTI CLUB JO VOLLEYBALL INC
010938535,ART OF BIRTH AND WELLNESS AT LIVING TREE ABW LIVING TREE COMMUNITY WELLNESS
010939948,WEST LIBERTY FORCE FASTPITCH ASSOCIATION
010940188,WAYNESBURG JUNIOR LEAGUE
010942049,LIFE BUILDERS UNITED INC
010942649,WOMEN IN AVIATION INTERNATIONAL YANKEE LADIES CHAPTER
010944286,DEAF WOMEN OF COLOR
010945215,BLUE STAR MOTHERS OF AMERICA INC 4AZ BSM OF THE SOUTHEWEST VALLEY
010945564,NATIONAL LEAGUE OF AMERICAN PEN WOMEN INC 421 GUN POWDER BRANCH MD
010945584,NATIONAL LEAGUE OF AMERICAN PEN WOMEN INC 422 BIG ISLAND HI
010945590,NATIONAL LEAGUE OF AMERICAN PEN WOMEN INC 423 NORTH CAROLINA PIEDMONT
010945593,NATIONAL LEAGUE OF AMERICAN PEN WOMEN INC 424 EMERALD VALLEY OR
010946235,CATHOLIC LADIES RELIEF SOCIETY NO 11
010946806,UPENDO WOMENS FOUNDATION
010947531,SAFE STREETS NOW AMERICA
010947688,WA KOREAN WOMEN REALTORS ASSOCIATION
010950580,LATINA LEADERS OF KERN COUNTY
010952924,BATON ROUGE RIGHT TO LIFE INC
010953613,PATERSON GIRLS ATHLETIC LEAGUE
010954142,YESHIVAT MAHARAT INC
010954751,SOCIETY OF WOMEN ENGINEERS UNIVERSITY OF CA BERKELEY SWE SECTI
010954806,PRO LIFE RIBBON
010954863,SOCIETY OF ST VINCENT DE PAUL BLESSED MOTHER CONFERENCE
010955956,BIRTHING AGAIN IPHC
010958083,WOMEN OF THE WELLS
010959159,GARDEN GROVE GIRLS BASKETBALL BOOSTER CLUB
010959251,HI MOM I AM HOME AGENCY
010959662,WOMEN OF VIRTUE WORLD MINISTRIES IN C
010961805,BOSTON WOMENS RUGBY FC CORPORATION
010963609,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ANNIE PULLIAM DAR
010964847,LA LECHE LEAGUE INTERNATIONAL INC LLL ABILENE
010965918,NIPPLE ME PINK FOUNDATION
010967133,WORLDWIDE ORPHANAGE RELIEF COALITION
010967873,VILLAGE HEALTH PARTNERSHIP
010969122,CHURCH WOMEN UNITED STATE OF MISSOURI
010971705,MY SISTERS HOUSE FOR GIRLS MY SISTERS HOUSE
010971753,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 57 722 000 90002322 AUBURN HADASSAH
010972861,HARVARD WOMANS PHILANTHROPIC CLUB INC HARVARD WOMENS CLUB
010972890,CHURCH WOMEN UNITED IN OKLAHOMA
010973107,WOMENS WORLD OF HOPE FOUNDATION INC
010974268,BLUE STAR MOTHERS OF AMERICA INC 8FL BSM OF THE BIG BEND
010974923,LA LECHE LEAGUE INTERNATIONAL INC LLL WIREGRASS
012566464,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS ALBUQUERQUE CHAPTER
012930736,ALTERNATIVES A CRISIS PREGNANCY CENTER
016011541,WOMANS LITERARY UNION OF ANDROSCOGGIN COUNTY
016011636,CMP MY WOMENS CLUB INC
016012122,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION REBECCA EMERY DAR
016012817,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION EUNICE FARNSWORTH RUTH HEAD CRAGIN
016012972,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION KOUSSINOC DAR
016012988,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SAMUEL GRANT DAR
016014031,ST MARKS HOME FOR WOMEN
016014264,FRANCES DIGHTON WILLIAMS DAR
016016580,MAINE STATE ORGANIZATION DAUGHTERS OF THE AMERICAN REVOLUTION MAINE STATE SOCIET DAR
016017764,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELIZABETH WADSWORTH DAR
016017952,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION OLD YORK DAR
016018821,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONIAL DAUGHTERS DAR
016018823,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SAMUEL GRANT MARY KELTON DUMMER DAR
016018824,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY DILLINGHAM DAR
016018826,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HANNAH WESTON DAR
016018828,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ESTHER EAYRES DAR
016018829,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TISBURY MANOR DAR
016018832,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LADY KNOX DAR
016018834,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY DILLINGHAM BURNT MEADOW CH DAR
016018835,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PEMAQUID DAR
016018836,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SILENCE HOWARD HAYDEN DAR
016019380,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED SOUTHERN MAINE SECTION
016020661,WISCASSET FEMALE CHARITABLE SOCIETY
016021744,ZONTA INTERNATIONAL BANGOR
016024004,GENERAL FEDERATION OF WOMENS CLUBS GFWC SEMPER FIDELIS CLUB
016046312,CALAIS WOMENS BENEVOLENT SOCIETY
016169390,PEACE X PEACE TR SMITH PATRICIA TTEE
016706325,CREEK INDIANS GIRLS LACROSSE
020205355,WOMENS CITY CLUB INC
020218301,WOMANS CLUB OF CONCORD NEW HAMPSHIRE
020219234,LA LECHE LEAGUE INTERNATIONAL INC LLL NEW LONDON
020222254,YWCA NEW HAMPSHIRE
020243160,GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS
020258168,CAMP BERNADETTE INC
020261393,ONAWAY CAMP TRUST
020324218,CATHOLIC DAUGHTERS OF THE AMERICAS
020324734,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 156 000 90000725 CONCORD
020325490,RINDGE WOMANS CLUB
020328076,OUR HOUSE FOR GIRLS
020329830,JAFFREY WOMANS CLUB INCORPORATED CUTLER MEMORIAL
020330154,GILMANTON WOMENS CLUB
020330733,BRIDGES DOMESTIC AND SEXUAL VIOLENCE SUPPORT SERVICES INC
020335684,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW HAMPSHIRE
020336895,AMERICAN MOTHERS INC NEW HAMPSHIRE
020337620,HAVEN VIOLENCE PREVENTION AND SUPPORT SERVICES A SAFE PLACE
020338839,MOULTONBOROUGH WOMENS CLUB
020339803,LADIES AID SOCIETY OF HILLSBOROUGH LOWER VILLAGE
020342221,CRISIS CENTER OF CENTRAL NEW HAMPSHIRE
020343286,SEACOAST BIRTHRIGHT OF PORTSMOUTH INC
020343570,MANCHESTER GIRLS SOFTBALL LEAGUE MANCHESTER VIPERS
020345628,MONADNOCK CENTER FOR VIOLENCE PREVENTION INC
020346334,MANCHESTER EMERGENCY HOUSING INCORPORATED
020346512,WOMENS INFORMATION SERVICE WISE
020349050,SEXUAL ASSAULT SUPPORT SERVICES
020350899,TURNING POINTS NETWORK
020351326,HUDSON GIRLS SOFTBALL LEAGUE INC
020355207,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1952 CLASS OF
020360151,NEW HAMPSHIRE COALITION AGAINST DOMESTIC AND SEXUAL VIOLENCE
020365780,STARTING POINT SERVICES FOR VICTIMS OF DOMESTIC AND SEXUAL VIOLENCE
020370171,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1962 CLASS OF
020370189,GENERAL FEDERATION OF WOMENS CLUBS GFWC CONCORD CONTEMPORARY CLUB
020372565,VOICES AGAINST VIOLENCE
020375272,GENERAL FEDERATION OF WOMENS CLUBS GFWC GREENLAND WOMENS CLUB
020384743,LA LECHE LEAGUE INTERNATIONAL INC LLL MANCHESTER NH
020389031,CARE NET PREGNANCY CTR OF M AND N
020389434,STRAFFORD HEALTH ALLIANCE WMNS LIFE IMAGING AND MARSH BRK REHAB
020390099,LA LECHE LEAGUE INTERNATIONAL INC LLL MERRIMACK VALLEY
020391160,OPTIONS FOR WOMEN A PREGNANCY HELP CENTER
020393952,CARE NET PREGNANCY CENTER OF GREATER CONCORD
020397895,DUCKS UNLIMITED INC FIRST LADIES OF NH CHAPTER
020408954,PORTSMOUTH PRO MUSICA PORTSMOUTH PRO MUSIC
020409655,NEW GENERATION INC
020412553,WELLESLEY COLLEGE ALUMNAE ASSOC 1982 CLASS
020414655,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC QUEEN CITY MOTC
020414691,LADIES AUXILIARY TO THE BOSCAWEN POLICE DEPARTMENT
020428356,AMERICAN MOTHERS INC VERMONT
020432445,LA LECHE LEAGUE INTERNATIONAL INC LLL SEACOAST AREA
020434898,CARE NET PREGNANCY CENTER OF THE MONADOCK REGION
020435656,CARENET PREGNANCY CENTER OF THE WHITE MOUNTAINS
