,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
14,National Council for Incarcerated and Formerly Incarcerated Women,1939961,National Council for Incarcerated and Formerly Incarcerated Women,Part 1: the mission of the national council for incarcerated and formerly incarcerated women and girls (the national council) is to end incarceration of women and girls. - Part 3: the mission of the national council for incarcerated and formerly incarcerated women and girls (national council) is to end incarceration of women and girls.,100r Warren St,GV,5473173,813980673,3916338.0,,NATIONAL COUNCIL FOR INCARCERATED AND FORMERLY INCARCERATED WOMEN,No
15,The Academy at Penguin Hall Inc,1739088,The Academy at Penguin Hall Inc,"Part 1: to educate, enlighten and empoer young women to lead and live exemplary lives. - Part 3: to educate, enlighten and empower young women to lead and live exemplary lives.",36 Essex St,WEDUC,4883970,810729618,954879.0,,THE ACADEMY AT PENGUIN HALL INC,No
16,New Hope Inc,1945863,New Hope Inc,"Part 1: new hope's mission is dedicated to helping survivors of domestic and sexual violence heal from the trauma of abuse, understand the impact of abuse on their lives and rebuild lives free from violence. Our services include a 24/7 hotline, emergency shelter, counseling, hospital, court and police advocacy, housing advocacy, safety planning, prevention education, supervised visitation, and intimate partner abuse education. We also provide referrals to other services, as appropriate. We serve anyone who is a survivor and/or their family members, without regard to age, sex, gender or gender expression, sexual orientation, immigration status, language, ability, and/or religion.",247 Maple St,WHSV,4860773,42681340,434031.0,,NEW HOPE INC,No
17,Roxbury Stone House Inc,1058318,Roxbury Stone House Inc,"Part 1: continuum of care for adult and child survivors of domestic violence. - Part 3: the roxbury stone house partners with adult and child survivors of domestic violence and related trauma - mental illness, housing instability and substance misuse - to achieve safety, stability, and overall wellbeing, thereby contributing to the strength, resiliency, and health of the community we serve.",PO Box 300039,WHSV,4304043,510192418,3724265.0,,ROXBURY STONE HOUSE INC,No
18,Womens Lunch Place Inc,412897,Womens Lunch Place Inc,"Part 1: safe day shelter providing meals & critical services to women experiencing homelessness or poverty. - Part 3: at wlp we view diversity through a wide lens and accept every woman regardless of race, national origin, immigration status, age, ethnicity, gender identity, sexual orientation, disability, faith, criminal history and educational background. We provide services to women living in extreme poverty who are homeless or at risk of becoming homeless. More than 50% are currently homeless and the remainder are living in transitional housing or subsidized housing. 80% report histories of trauma and significant loss. Many struggle with mental illness, addiction and disabilities, with 42% receiving ssi or ssdi benefits. More than 35% are women age 61 or older. Boston public health commissions 2016 report on the ""health of boston"" identified key determinants that significantly impact an individuals health and specifically capture the risk factors faced by women at wlp. Risk factors include exposure to violence, lack of income, lack of access to healthy food, safe housing, and quality health care.",20 Park Plaza,WHSV,4155871,222514148,4259845.0,,WOMENS LUNCH PLACE INC,No
19,New Bedford Womens Center Inc the Womens Center,1945808,New Bedford Womens Center Inc the Womens Center,Part 1: to empower and support positive choices for all and to educate and take action in the community for the prevention of oppression and violence.,405 County St,GV,3778859,42557022,4723681.0,,NEW BEDFORD WOMENS CENTER INC THE WOMENS CENTER,No
20,Healthquarters Inc,1945804,Healthquarters Inc,Part 1: health quarters is committed to providing sexual and reproductive healthcare without judgment or barriers.,100 Cummings Ctr Ste 220b,WHLTH,3713361,42475363,45416.0,,HEALTHQUARTERS INC,No
21,Victim Rights Law Center Inc,1945355,Victim Rights Law Center Inc,Part 1: the vrlc's mission is to provide legal representation to victims of rape and sexual assault to help rebuild their lives; and to promote a national movement committed to seeking justice for every rape and sexual assault victim.,11 Beacon St Ste 520,GV,3672753,20588944,3307492.0,,VICTIM RIGHTS LAW CENTER INC,No
22,Big Sister Association of Greater Boston Inc,1945784,Big Sister Association of Greater Boston Inc,Part 1: big sister's mission is to ignite girls' passion and power to succeed through positive mentoring relationships with women and enrichment programs that support girls' healthy development.,20 Park Plz Ste 1420,GIRL,3629766,42150651,4467345.0,,BIG SISTER ASSOCIATION OF GREATER BOSTON INC,No
23,Massachusetts Conference for Women Inc,361644,Massachusetts Conference for Women Inc,Part 1: the mission of the conference is to harness the collective energy and knowledge of the women of the region-women of all ages and backgrounds-to better themselves and their communities.,PO Box 55071,"WEDUC,WSW",3620086,202699177,2182500.0,,MASSACHUSETTS CONFERENCE FOR WOMEN INC,No
24,Young Womens Christian Association of Boston Inc,1945741,Young Womens Christian Association of Boston Inc,"Part 1: eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all. - Part 3: the YWCA boston is dedicated to eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all.",140 Clarendon Street,WSNW,3506785,42103548,3191160.0,,YOUNG WOMENS CHRISTIAN ASSOCIATION OF BOSTON INC,No
25,Center for Women and Enterprises Inc,1946342,Center for Women and Enterprises Inc,"Part 1: education, training, consulting, technical assistance and certification for entrepreneurs. - Part 3: cwe is an economic empowerment organization whose mission is to help women business owners and aspiring female entrepreneurs launch and grow their business by providing greater access to the resources, tools, and support they need. We achieve this mission by providing education, training, technical assistance, access to markets, and paths to funding to women entrepreneurs and early-stage businesses.",44 School St Rm 200,ND,3446565,43256236,4118908.0,,CENTER FOR WOMEN AND ENTERPRISES INC,No
26,Jeanne Geiger Crisis Center Inc,411864,Jeanne Geiger Crisis Center Inc,Part 1: the mission of the jeanne geiger crisis center is to empower individuals and engage communities to end domestic violence.,2 Harris St,GV,3267915,222474823,3246494.0,,JEANNE GEIGER CRISIS CENTER INC,No
27,Asian Task Force Against Domestic Violence Inc,1946260,Asian Task Force Against Domestic Violence Inc,Part 1: to eliminate family violence and to strengthen asian families and communities. - Part 3: to prevent domestic violence in asian families and communities and to provide hope to survivors.,PO Box 120108,GV,3053405,43103354,2958341.0,,ASIAN TASK FORCE AGAINST DOMESTIC VIOLENCE INC,No
28,Mother Caroline Academy and Education Center,1946291,Mother Caroline Academy and Education Center,"Part 1: *refer to schedule o, page 49mother caroline academy and education center nurtures, inspires and empowers students and families to achieve success through education. - Part 3: the mission of the school is to provide a quality education that develops the potential of each student and prepares her to succeed in competitive secondary schools. We believe our mission can best be *refer to schedule o, page 45 for continuation*achieved by focusing holistically on the needs of our students and their families, and by preserving a spirit of volunteerism and commitment among all who aid and support and benefit from our mission.",515 Blue Hill Ave,WEDUC,2929617,43163180,1304341.0,,MOTHER CAROLINE ACADEMY AND EDUCATION CENTER,No
29,Family and Community Resources Inc,1945823,Family and Community Resources Inc,"Part 1: domestic violence and substance abuse counseling. - Part 3: the mission of fcr is to provide a welcoming, inclusive, and safe environment for all survivors of trauma, including those impacted by domestic and sexual violence, substance abuse, bereavement, and other causes.With the understanding that the aim of equality and justice is ongoing, we are committed to modeling diversity, inclusivity, and equity within our organization to reflect the communities in which we serve.",18 Newton St,WHSV,2849514,42616114,,,FAMILY AND COMMUNITY RESOURCES INC,No
30,Girls Incorporated of Lynn,1945753,Girls Incorporated of Lynn,"Part 1: girls Inc. Inspires all girls to be strong, smart and bold by providing essential resources and programs to at risk, low-income girls and their families. Girls Inc. Helps build girls' capacity for responsible and confident adulthood, economic independence, and personal fulfillment through their programs. - Part 3: girls Inc. Inspires all girls to be strong, smart and bold by providing essential resources and programs to at risk, low-income girls and their families. Girls Inc. Helps build girls' capacity for responsible and confident adulthood, economic independence, and personal fulfillment through their programs.During the challenging times of covid-19, girls Inc. Continued to provide high-quality programming and social-emotional support to girls ages 5-18 offering virtual programs in stem, literacy, leadership, mentoring, academics. Following covid-19 safety protocols, girls Inc. Offered in-person remote learning for elementary school girls, followed by girls Inc. Experience programming in the afternoon. Girls Inc. Continues to engage many talented volunteers in virtual programming and engage families through family engagement programming.",50 High St,"GIRL,WSW",2722246,42104250,3646817.0,,GIRLS INCORPORATED OF LYNN,No
31,Dove Inc,1945854,Dove Inc,"Part 1: provides services for victims of domestic abuse. - Part 3: mission statement: hope, healing, safety, social change. Working together to end domestic and partner violence. Vision statement: a community unified in peace, justice, and equity, for the safety and well-being of every individual.",PO Box 690267,GV,2662981,42667808,972748.0,,DOVE INC,No
32,Wellesley Students Aid Society Inc,1945785,Wellesley Students Aid Society Inc,Part 1: provide loans and other means of support to wellesley college students with demonstrated need. Supplementing wellesley college's financial aid programs. - Part 3: providing financial assistance to wellesley college students who demonstrate a financial need.,106 Central Street,WEDUC,2590047,42152598,1143564.0,,WELLESLEY STUDENTS AID SOCIETY INC,No
33,Our Sisters School Inc,550670,Our Sisters School Inc,"Part 1: our mission, as an independent, tuition free, non-sectarian middle school, is to edcuate and inspire econcomically disadvantaged girls from the new bedford area. - Part 3: to educate and inspire econcomically disadvantaged girls from the new bedford area. Empowering girls to step into the future with valuable life skills and a mindset of achievement and excellence by providing a safe, supportive, and academically challenging environment.",145 Brownell Ave,WEDUC,2559371,260367118,2893167.0,,OUR SISTERS SCHOOL INC,No
34,Wellesley College Alumnae Association,1945764,Wellesley College Alumnae Association,Part 1: to support the institutional priorities of wellesley college by connecting alumnae to the college and to each other. The association will serve as a lifelong resource to alumnae and will encourage alumnae to contribute to the continued excellence of the college.,106 Central Street,WEDUC,2440374,42105817,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION,No
35,Harborcov Inc,1946434,Harborcov Inc,"Part 1: provide emergency and community based services to domestic violence survivors. - Part 3: harborcov provides linguistically and culturally appropriate, high-quality emergency and support services to, safe affordable transitional and permanent low-income housing for, and advocates on behalf of, victims and survivors of domestic violence, while working to educate the public about its causes and consequences.",63 Washington Avenue,GV,2437215,43458096,3169189.0,,HARBORCOV INC,No
36,Healing Abuse Working for Change Inc,1945850,Healing Abuse Working for Change Inc,Part 1: to create social change by taking action against personal and societal patterns of violence and oppresion. Hawc provides services and support to victims of domestic violence in 23 cities and towns on massachusetts' north shore. - Part 3: to create social change by taking action against personal and societal patterns of violence and oppression. Hawc provides services and support to victims of domestic violence in 23 cities and towns on massachusetts' north shore.,27 Congress Street,GV,2353494,42655367,2492635.0,,HEALING ABUSE WORKING FOR CHANGE INC,No
37,Young Womens Christian Association of Newburyport,1945780,Young Womens Christian Association of Newburyport,"Part 1: YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.",13 Market St,WSNW,2206422,42123678,1202764.0,,YOUNG WOMENS CHRISTIAN ASSOCIATION OF NEWBURYPORT,No
38,Esperanza Academy Inc,1301946,Esperanza Academy Inc,"Part 1: esperanza academy, Inc. (The academy) is a tuition-free, independent middle school in the episcopal tradition welcoming girls of diverse faiths, races, and cultures from lawrence, massachusetts. The school inspires students to become active learners and responsible global citizens. We empower and prepare our girls to meet challenges with courage, integrity, and respect. - Part 3: the academy is a tuition-free, independent middle school in the episcopal tradition welcoming girls of diverse faiths, races, and cultures from lawrence, massachusetts. The school inspires students to become active learners and responsible global citizens. We empower and prepare our girls to meet challenges with courage, integrity, and respect.",198 Garden St,WEDUC,2105529,731722348,,,ESPERANZA ACADEMY INC,No
39,Flying Kites Inc,394424,Flying Kites Inc,"Part 1: at flying kites we are transforming primary education in rural kenya - part 3: at flying kites, we are transforming primary education in rural kenya.",25 Dorchester Ave,"ND,WEDUC,WINTL",2040527,205946832,2071194.0,,FLYING KITES INC,No
40,Neighbor To Neighbor Massachusetts Education Fund Inc,1946462,Neighbor To Neighbor Massachusetts Education Fund Inc,"Part 1: we promote education concering the needs of poor working families. We are the ""new majority:"" people of color, immigrants, women and the working class, on a path to liberation. Our statewide membership is organizing to put people and planet first before profit. We counter the fear that causes injustice by building power to transform the institutions that govern our lives. In an era of income inequality, environmental degradation and racism, our chapters are building power to confront this triple crisis in massachusetts. We fill the ballot box with our votes. We fill the streets with our voices. We SEED the new alternatives that put power and decision-making in the hands of those directly affected. - Part 3: see schedule o for part 1 line 1",8 Beacon St 5th Floor,"ND,WEDUC",2016660,43507716,1781069.0,,NEIGHBOR TO NEIGHBOR MASSACHUSETTS EDUCATION FUND INC,No
41,Womens Foundation of Boston Inc,1768861,Womens Foundation of Boston Inc,"Part 1: economic advancement, leadership and financial independence of women and girls in the greater boston area. - Part 3: the women's foundation of boston creates, funds, and accelerateshigh-impact programs that promote the economic advancement, leadershipand financial independence of women and girls in greater boston.",423 Brookline Ave 223,"WHSV,WSW",1965555,815063201,3786758.0,,WOMENS FOUNDATION OF BOSTON INC,No
42,Womens Institute for Housing and Economic Development Inc,1946154,Womens Institute for Housing and Economic Development Inc,"Part 1: the mission of the women's institute is to promote economic resilience and stable homes by developing and preserving high quality affordable and supportive housing, with an emphasis on under-served populations.",101 Federal St Ste 1900,WSNW,1943006,42733078,,,WOMENS INSTITUTE FOR HOUSING AND ECONOMIC DEVELOPMENT INC,No
43,Bais Yaakov of Boston Inc,290274,Bais Yaakov of Boston Inc,"Part 1: bais yaakov of boston, the only all girls Jewish high school in boston, is a college preparatory school that provides a comprehensive and challenging judaic and secular studies program. It offers orthodox Jewish young women an environment that fosters a love of learning and traditional Jewish values and ethics, as well as a strong sense of commitment to community.",PO Box 351004,WEDUC,1898164,43247061,1685298.0,,BAIS YAAKOV OF BOSTON INC,No
44,Home for Aged Women in Salem Brookhouse Home for Aged Women,1945756,Home for Aged Women in Salem Brookhouse Home for Aged Women,"Part 1: to offer residential care for senior women. - Part 3: the organization's mission is to encourage and support the facility's residents in maintaining family and life long relationships through the operation of a 36-bed residential care facility in salem, massachusetts. Brookhouse home welcomes senior women without regard of race, creed or national origin.",180 Derby St,WHSV,1843167,42104318,278063.0,,HOME FOR AGED WOMEN IN SALEM BROOKHOUSE HOME FOR AGED WOMEN,No
45,The Honorable Tina Brozman Foundation Inc,551153,The Honorable Tina Brozman Foundation Inc,Part 1: tina's wish is an ovarian cancer non-profit organization dedicated to funding groundbreaking scientific research for the early detection and prevention of ovarian cancer. Know early. Know hope. This is our mission. - Part 3: the honorable tina brozman foundation for ovarian cancer research (tina's wish) is an ovarian cancer non-profit organization dedicated to funding groundbreaking scientific research for the early detection and prevention of ovarian cancer. Know early. Know hope. This is our mission.,150 Federal St,WHLTH,1833858,260413943,2765567.0,,THE HONORABLE TINA BROZMAN FOUNDATION INC,No
46,Prosperity Catalyst Inc,636555,Prosperity Catalyst Inc,"Part 1: prosperity catalyst develops and strengthens women-led business in distressed regions, providing business and technical training, creating opportunities for women to achieve economic and social empowerment. - Part 3: prosperity catalyst develops and strengthens women-led businesses in distressed regions, providing business and technical training, creating opportunities for women to achieve economic and social empowerment.",PO Box 5542,WINTL,1791246,272911776,1410295.0,,PROSPERITY CATALYST INC,No
47,Vincent Memorial Hospital Foundation Inc,1946627,Vincent Memorial Hospital Foundation Inc,Part 1: to support programs for the care and treatment of the diseases of women at mass. General hospital. - Part 3: the primary mission of vincent memorial hospital foundation Inc is to support programs for the care and treatment of the diseases of women at massachusetts general hospital.,55 Fruit Street Aus 514,WHLTH,1659600,46004286,210320.0,,VINCENT MEMORIAL HOSPITAL FOUNDATION INC,No
48,Mothers for Justice and Equality Inc,953186,Mothers for Justice and Equality Inc,Part 1: to end neighborhood violance by providing education and engagement services to individuals who have been impacted by violance and are at-risk of becoming a victim or perpetrator of violence.,2201 Washington Street Suite 307,WSNW,1542097,453741482,2048349.0,,MOTHERS FOR JUSTICE AND EQUALITY INC,No
49,Neighborhood Villages Inc,1940413,Neighborhood Villages Inc,"Part 1: neighborhood villages envisions a future in which all families have access to affordable, high-quality early education and care. In service of this vision, we advocate for early education and care policy reform and implement innovative, scalable solutions that address the biggest challenges facing early education and care providers and the families who rely on them.",64 Sigourney St,WEDUC,1540460,821859365,3456053.0,,NEIGHBORHOOD VILLAGES INC,No
50,The Ellie Fund,1946353,The Ellie Fund,"Part 1: to provide essential support services for breast cancer patients to ease the stresses of everyday life, allowing the focus to be on family, recovery, and healing. - Part 3: to provide essential support services for breast cancer patients to ease the stresses of everyday life, allowing the focus to be on family, recovery and healing.",200 Reservoir St Ste 300,"WEDUC,WHLTH",1523418,43280390,1796612.0,,THE ELLIE FUND,No
51,Smcwc Crossroads Housing Inc Crossroads Shelter,985192,Smcwc Crossroads Housing Inc Crossroads Shelter,"Part 1: to shelter homeless families from the greater boston area and provide emergency food and clothing to those in need. - Part 3: smcwc - crossroads housing, Inc. Is dedicated to the emotional, educational, and economic health and wellbeing through shelter, care, treatment, education and training of poor disadvantaged women and children.",56 Havre St,WHSV,1455364,461061701,,,SMCWC CROSSROADS HOUSING INC CROSSROADS SHELTER,No
52,Julies Family Learning Program Inc,321947,Julies Family Learning Program Inc,"Part 1: julie's family learning program is dedicated to breaking the cycle of poverty among low-income, at risk families by providing services that enable mothers and their children to become healthy, responsible, successful at life, and economically self sufficient members of their communities. - Part 3: julie's family learning program is dedicated to breaking the cycle of poverty among low-income, at risk families by providing services that enable mothers and their children to become healthy, responsible, successful at life, and economically self-sufficient members of their communities.",133 Dorchester St,WHSV,1441589,113692512,1221149.0,,JULIES FAMILY LEARNING PROGRAM INC,No
53,Finex House Incorporated,411961,Finex House Incorporated,"Part 1: to provide wheelchair accessible, emergency shelter and comprehensive services - shelter plus care program for victims of domestic violence and their children who fall through the cracks of the existing provider network.",PO Box 301154,GV,1365298,222479325,1413718.0,,FINEX HOUSE INCORPORATED,No
54,Health Care Without Walls Inc,1946449,Health Care Without Walls Inc,"Part 1: to improve the lives of homeless or marginally housed women by providing free, quality healthcare.",148 Linden St Ste 208,WHSV,1356472,43487205,1355501.0,,HEALTH CARE WITHOUT WALLS INC,No
55,The Woodward School for Girls Inc Woodward School,1946218,The Woodward School for Girls Inc Woodward School,"Part 1: school for girls, grades six through twelve",1102 Hancock St,"WEDUC,WSW",1335717,42952746,553032.0,,THE WOODWARD SCHOOL FOR GIRLS INC WOODWARD SCHOOL,No
56,Jane Doe Inc A Massachusetts Coalition Against Sexual Assualt,1945859,Jane Doe Inc A Massachusetts Coalition Against Sexual Assualt,"Part 1: education and programming addressing root causes of sexual assault and domestic violence - part 3: bring together organizations and people committed to ending domestic violence and sexual assault. Create social change by addressing root causes of this violence, and promote justice, safety and healing for survivors. Advocates for responsive public policy, promotes collaboration, raises pulbic awareness, and supports our member organizations to provide comprehensive prevention and intervention services. We are guided by the voices of survivors.",745 Atlantic Avenue,GV,1309968,42676138,,,JANE DOE INC A MASSACHUSETTS COALITION AGAINST SEXUAL ASSUALT,No
57,Plymouth 400 Inc,646965,Plymouth 400 Inc,Part 1: providing strategic planning and implementation of events and programs for the national commemoration of the voyage of mayflower and the founding of plymouth county.,PO Box 1062,WSNW,1301462,273757543,240701.0,,PLYMOUTH 400 INC,No
58,Provide Inc,1946364,Provide Inc,"Part 1: to educate, train, and assist healthcare and social service providers to care for and support women seeking abortion.",44 School St Ste 505,"RH,WADV",1297494,43298538,791869.0,,PROVIDE INC,No
59,Emh Recovery Inc,1325074,Emh Recovery Inc,Part 1: the agency is committed to providing residential treatment for women with chemical dependency problems and their families.,678 North Main Sttreet,WHSV,1148128,743100810,433353.0,,EMH RECOVERY INC,No
60,YWCA of Southeastern Massachuetts,1945760,YWCA of Southeastern Massachuetts,"Part 1: to empower women, girls and their families, and to eliminate racism. - Part 3: the organization's mission is to empower women and girls and their families, and to eliminate racism. To accomplish these goals, the YWCA provides a wide range of services in four areas: adult, youth, health, and residential.",20 S 6th St,WSNW,1078335,42104747,1954221.0,,YWCA OF SOUTHEASTERN MASSACHUETTS,No
61,Strong Women Strong Girls Inc,358088,Strong Women Strong Girls Inc,"Part 1: strong women, strong girls empowers girls to imagine a broader future through a curriculum grounded on female role models delivered by college women mentors, who are themselves mentored by professional women.",89 South St Ste Ll02,"GIRL,WSW",1030533,202321377,1433086.0,,STRONG WOMEN STRONG GIRLS INC,No
62,Komera Inc,622297,Komera Inc,"Part 1: komera develops self-confident young women through education, community development, and health.",PO Box 1491,WEDUC,1030526,271581674,997717.0,,KOMERA INC,No
63,Families for Justice As Healing Inc,1696771,Families for Justice As Healing Inc,"Part 1: families for justice as healing, Inc. Is an organization by and for incarcerated and formerly incarcerated women and girls. We are working to end the incarceration of women. Our members advocate for community wellness and we reject state and national policies that prioritize criminalization and incarceration.",100r Warren St,GV,1029220,454148974,1041276.0,,FAMILIES FOR JUSTICE AS HEALING INC,No
64,Mujeres Unidas Avanzando Inc,1946165,Mujeres Unidas Avanzando Inc,Part 1: to provide educational and social services to self-empower latina women and their families. - Part 3: the organization's mission is to provide educational and social services to self-empower latina women and their families.,54 Clayton St Ste 1,WEDUC,983866,42753429,1460256.0,,MUJERES UNIDAS AVANZANDO INC,No
65,Care 2 Communities Inc,595827,Care 2 Communities Inc,"Part 1: care 2 communities, Inc. (C2c) is creating a model for sustainable, community-based healthcare in haiti that transforms the status quo, meets the needs of poor and low-income people, and empowers families to lead healthier lives. - Part 3: mission: care 2 communities, Inc. (C2c) is creating a model for sustainable, community-based healthcare in haiti. We meet the needs of poor families by delivering low-cost, high-quality primary care through a social enterprise clinic model. Community clinics are sustainable over time - treating and preventing illness locally, saving lives, and serving communities in perpetuity.",24 School Street,GEN,934584,264369180,707209.0,,CARE 2 COMMUNITIES INC,No
66,Girly Genius Corporation Girly Genius,1942349,Girly Genius Corporation Girly Genius,"Part 1: to serve as an educational resource for girls and others; and to engage them in the field of science, technology, engineering and math (stem); and to promote global culture awareness and art/history/nature appreciation.",111 Perkins St Apt 76,WEDUC,906600,831862573,906600.0,,GIRLY GENIUS CORPORATION GIRLY GENIUS,No
67,Girly Genius Corporation Girly Genius,1942349,Girly Genius Corporation Girly Genius,"Part 1: to serve as an educational resource for girls and others; and to engage them in the field of science, technology, engineering and math (stem); and to promote global culture awareness and art/history/nature appreciation.",111 Perkins St Apt 76,WEDUC,906600,831862573,506500.0,,GIRLY GENIUS CORPORATION GIRLY GENIUS,No
68,The Womens Edge Inc,1946396,The Womens Edge Inc,Part 1: to promote women entrepreneurship - part 3: promote women entrepreneurship,120 Water St Apt 3004,WPSB,905883,43371964,245992.0,,THE WOMENS EDGE INC,No
