,EIN,Name,totcntrbgfts,totcntrbs
114,42597673,CATHOLIC DAUGHTERS OF THE AMERICAS 987 ST JOHN EUDES,,
115,42597799,CARE NET PREGNANCY RESOURCE CENTER OF NORTH CENTRAL MASSACHUSETTS INC,85524.0,
116,42599407,DIVORCE RESOURCE AND MEDIATION CENTER INC,,
117,42599804,RACIAL UNITY NOW INC,,
118,42600429,PRO LIFE LEGAL DEFENSE FUND INC,,
119,42602112,RAINBOW CAMP OF MASSACHUSETTS INC E CAROL K MILNE PRESIDENT,,11676.0
120,42602960,NATIONAL SOCIETY DAUGHTERS OF COLONIAL WARS INC MASSACHUSETTS SOCIETY,,
121,42607241,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 002 000 90000721 NASHOBA VLY HAD,,
122,42616114,FAMILY AND COMMUNITY RESOURCES INC,,
123,42616922,NEW ENGLAND LEARNING CENTER FOR WOMEN IN TRANSITION INC N E LEARNING CENTER,1604586.0,
124,42620053,LEAGUE OF CATHOLIC WOMEN OF LOWELL,,
125,42621292,WELLESLEY COLLEGE ALUMNAE ASSOC 1977 CLASS,,
126,42622674,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SOUTH SHORE,,
127,42622898,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC GREATER SOUTH HADLEY,,
128,42622986,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC CAPE COD,,
129,42623003,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC FRANKLIN COUNTY,,
130,42623010,LA LECHE LEAGUE INTERNATIONAL INC LESLIE DIORIO,,
131,42624722,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC NORTHBOROUGH JR WOMANS CLUB,,
132,42625710,CASA MYRNA VASQUEZ INC,10167205.0,
133,42627415,NEW BIRTH CHRISTIAN CHURCH INC,,
134,42628410,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC WESTERN SUBURBS,,
135,42631789,TRANSITION HOUSE INC,,
136,42633283,LEAGUE OF WOMEN VOTERS OF BROOKLINE SARA K WALLACE FUND,,
137,42636553,DAUGHTERS OF BILITIS INC,,
138,42636979,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTH CENTRAL MASS ID 669,,
139,42639215,BILLERICA GIRLS SOFTBALL ASSOCIATION INC,,
140,42641668,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC LUNENBURG WOMANS CLUB,,
141,42642981,HINGHAM GIRLS ATHLETIC LEAGUES INC,,
142,42646413,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SPRINGFIELD,,
143,42648411,ABBY KELLEY FOSTER HOUSE INC,1943158.0,
144,42650532,BATTERED WOMENS RESOURCES INC,,
145,42650764,RADCLIFFE CHORAL SOCIETY INC HOLDEN CHAPEL,,67575.0
146,42653000,LA LECHE LEAGUE INTERNATIONAL INC LLL BEVERLY,,
147,42654452,WELLESLEY COLLEGE ALUMNAE ASSOC 1978 CLASS,,
148,42655367,HEALING ABUSE WORKING FOR CHANGE INC,2492635.0,
149,42661054,WOMEN IN TRANSITION INC ALTERNATIVE HOUSE,1827225.0,
150,42664530,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1982 CLASS OF,,
151,42666853,NEW ENGLAND BAPTIST HOSPITAL SCHOOL OF NURSING ALUMNAE ASSOCIATION INC,,
152,42667808,DOVE INC,972748.0,
153,42668765,MONTROSE FOUNDATION INC,,
154,42673835,LEBANESE SYRIAN LADIES AID SOCIETY,,
155,42675196,MASSACHUSETTS FEDERATION OF POLISH WOMENS CLUBS INC,,
156,42675718,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1981 CLASS OF,,
157,42676138,JANE DOE INC A MASSACHUSETTS COALITION AGAINST SEXUAL ASSUALT,,
158,42679358,REPRODUCTIVE EQUITY NOW FOUNDATION INC,357705.0,
159,42681340,NEW HOPE INC,434031.0,
160,42681753,KEYSTEPS INC,,
161,42683153,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1983 CLASS OF,,
162,42684933,BIRTHRIGHT OF FRAMINGHAM INC,,
163,42688422,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ABIAH FOLGER FRANKLIN DAR,,
164,42688635,VALLEY WOMENS MARTIAL ARTS INC,,6178.0
165,42688635,VALLEY WOMENS MARTIAL ARTS INC,,4857.0
166,42690131,SAFE PASSAGE INC,3003734.0,
167,42691505,WOMEN MILITARY AVIATORS INC,,19355.0
168,42692234,NEWTON GIRLS SOCCER INC,29894.0,
169,42692234,NEWTON GIRLS SOCCER INC,7573.0,
170,42692315,C A CATHOLIC SISTERS OF THE IMMACUL ATE CONCEPTION INC,,
171,42695126,COMMUNITY OF THE SISTERS OF ST ANNE COMMUNITY OF THE SISTERS OF ST ANNE,,
172,42696339,POR CRISTO INC,545726.0,
173,42698497,PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS INC,12065771.0,
174,42700587,ARNOLD L ANDERSON HOUSE INC KATHLEEN OBRIEN,,4579.0
175,42703281,GIRL SCOUTS OF EASTERN MASSACHUSETTS INC,3697920.0,
176,42705386,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1963 CLASS OF,,
177,42706048,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1950 CLASS OF,,
178,42707837,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1970 CLASS OF,,
179,42708648,HOME SPACE INC,,
180,42711694,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1984 CLASS OF,,
181,42713460,LEAGUE OF WOMEN VOTERS OF BOSTON CHARITABLE TR,,
182,42714212,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1975 CLASS OF,,
183,42714930,MASS CITIZENS FOR LIFE CHARITABLE TR,456862.0,
184,42716665,INDEPENDENCE HOUSE INC,,
185,42716766,ALIANZA DV SERVICES INC,2247947.0,
186,42717679,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1978 CLASS OF,,
187,42718077,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101006 HAVERHILL MERRIMACK VALLEY M,,
188,42722201,WOMEN FOR ECONOMIC JUSTICE,,
189,42722858,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1943 CLASS OF,,
190,42730523,INCESTRESOURCES INC,,
191,42731208,LITTLE SISTERS OF THE POOR HOUSING FOR THE ELDERLY INC,,0.0
192,42732721,THE CENTER FOR HOPE AND HEALING INC,2173610.0,
193,42733078,WOMENS INSTITUTE FOR HOUSING AND ECONOMIC DEVELOPMENT INC,,
194,42734202,LES DAMES D ESCOFFIER BOSTON INC,,
195,42734584,PATHWAYS FOR CHANGE INC,,
196,42735449,REACH BEYOND DOMESTIC VIOLENCE INC,3038933.0,
197,42738443,MASSACHUSETTS WOMENS POL CAUCUS LEADERSHIP DEV EDU AND RESEARCH FND,162985.0,
198,42738887,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1964 CLASS OF,,
199,42745111,BIRTHRIGHT OF AMHERST AREA INC,,
200,42748244,GIRLS INC OF THE VALLEY,2458253.0,
201,42751386,HARBOR ME INC,,
202,42753418,WOMEN TRANSFORMING COMMUNITIES,,
203,42753429,MUJERES UNIDAS AVANZANDO INC,1460256.0,
204,42759640,THE MOTHER CONNECTION INC,1318.0,
205,42760285,NATIONAL SOCIETY OF NEW ENGLAND WOMEN ABIGAIL ADAMS COLONY,,
206,42763747,WOMEN OUTDOORS INC,,
207,42765228,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 306 000 90002018 EASTON MANSFLD,,
208,42767431,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1977 CLASS OF,,
209,42767437,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC PAST CHAIRMANS CLUB,,
210,42768201,SISTERS OF NOTRE DAME DE NAMUR GENERALATE RALATE,,
211,42768256,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM AND WOMENS FAULKNER HOSPITAL,,
212,42781134,PROBLEM PREGNANCY OF WORCESTER INC,,
213,42784585,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1965 CLASS OF,,
214,42786802,WALPOLE GIRLS SOCCER BOOSTERS ASSOCIATION INC,,
215,42788207,LA LECHE LEAGUE INTERNATIONAL LLL BROCKTON ID 720,,
216,42790934,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC METROWEST PARENTS OF MULTIPLES,,
217,42791260,WOMEN IN FILM AND VIDEO NEW ENGLAND CHAPTER INC,,
218,42791333,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1980 CLASS OF,,
219,42793698,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY COLLEGE CLUB OF SAN DIEGO,,
220,42793702,WELLESLEY COLLEGE ALUMNAE ASSOC CENTRAL FLORIDA WELLESLEY CLUB,,
221,42793703,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF TAMPA BAY,,
222,42793704,WELLESLEY COLLEGE ALUMNAE ASSOC NAPLES WELLESLEY CLUB,,
223,42793705,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN THE PALM BEACHES,,
224,42793706,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF HAWAII,,
225,42793709,WELLESLEY COLLEGE ALUMNAE ASSOC INDIANAPOLIS WELLESLEY CLUB,,
226,42793714,WELLESLEY COLLEGE ALUMNAE ASSOC NEBRASKA WELLESLEY CLUB,,
227,42793718,WELLESLEY COLLEGE ALUMNAE ASSOC ALUMNAE CLUB OF GREATER CHARLOTTE,,
228,42793719,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN NORTHEAST PA,,
229,42793720,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF READING,,
230,42794855,BETH ISRAEL HOSPITAL OBSTETRICS AND GYNECOLOGY FOUNDATION INC,0.0,
231,42797717,LA LECHE LEAGUE INTERNATIONAL LLL BELMONT,,
232,42797948,SOCIETY OF WOMEN ENGINEERS BOSTON SECTION,,
233,42814723,MILLBURY GIRLS SOFTBALL LEAGUE,,
234,42819058,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1985 CLASS OF,,
235,42830761,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETS INC GFWC DEDHAM JUNIOR WOMENS CLUB,,
236,42867965,HOUSE OF HOPE INC,892728.0,
237,42892353,HELEN S AARON EDUCATIONAL TR LEAGUE OF WOMEN VOTERS OF CAPE COD AREA,,
238,42898479,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC PLYMOUTH PARENTS OF TWINS CHAPTER,,
239,42898870,VOTER EDUCATION FUND OF THE LEAGUE OF WOMEN VOTERS OF BELMONT BELMONT VOTER EDUCATION FUND,,
240,42899822,WGAM JUNIOR SCHOLARSHIP FUND INC,,6968.0
241,42900116,HOUSING AND ECONOMIC RESOURCES FOR WOMEN INC,,
242,42900621,SOCIAL JUSTICE FOR WOMEN INC,,
243,42900881,SPRINGFIELD MOTHERS AND INFANTS TO TEENS HEALTH SYSTEM INC,,
244,42921324,ADOPTIONS WITH LOVE INC,27352.0,
245,42921338,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM INC,,
246,42921891,LA LECHE LEAGUE INTERNATIONAL INC LLL TOPSFIELD,,
247,42931104,THE MARGARET FITZGERALD GROGAN PETERSMEYER FOUNDATION INC,36175.0,
248,42932613,FRIENDS OF THE UNBORN INCORPORATED,438654.0,
249,42943746,SWEDISH WOMENS EDUCATIONAL ASSOCIATION BOSTON,,2616.0
250,42947253,WOMAN IN BUSINESS INC,,
251,42952746,THE WOODWARD SCHOOL FOR GIRLS INC WOODWARD SCHOOL,553032.0,
252,42952880,LA LECHE LEAGUE INTERNATIONAL INC LLL BOSTON ID 725,,
253,42962882,COMMUNITY ADOLESCENT RESOURCES AND EDUCATION CENTER INC,1165339.0,
254,42964026,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1987 CLASS OF,,
255,42965686,LA LECHE LEAGUE INTERNATIONAL INC LLL CAPE ANN,,
256,42966217,SHOWA BOSTON INSTITUTE FOR LANGUAGE AND CULTURE,789645.0,
257,42966563,DAUGHTERS OF ST PAUL CONVENT,,
258,42966892,WELLESLEY COLLEGE ALUMNAE ASSOC 1987 CLASS,,
259,42974983,BOSTON AREA RAPE CRISIS CENTER INC,1166674.0,
260,42974983,BOSTON AREA RAPE CRISIS CENTER INC,841430.0,
261,42981073,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC MONTACCHUSETT MOM,,
262,42984699,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTHAMPTON,,
263,42986802,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 760 000 90000744 LYNN SWAMPSCOTT,,
264,42999852,SURVIVORS INC,,34491.0
265,42999852,SURVIVORS INC,,36649.0
266,43015140,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1959 CLASS OF,,
267,43023706,ASSOCIATION FOR WOMEN IN SLAVIC STUDIES,,
268,43030955,CANADIAN WOMENS CLUB OF BOSTON INC,,
269,43031878,LITTLE LEAGUE BASEBALL INC 2211103 HOPKINTON LL,11206.0,
270,43034881,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 592 000 90000955 PLYMOUTH,,
271,43038369,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 128 000 90000946 CHARLES RIVER,,
272,43045822,LA LECHE LEAGUE INTERNATIONAL INC LLL AMHERST MA,,
273,43049513,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC MMOTA FOUNDING CHAPTER,,
274,43050360,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 108 000 90000943 BROCKTON,,
275,43054871,BIRTHRIGHT OF FALMOUTH,,
276,43059643,IRANIAN WOMENS STUDIES FOUNDATION INC,,
277,43062901,TEEN VOICES INC,,
278,43065163,CREATIVE ALLIANCES INC,,
279,43067465,BOSTON UNIVERSITY OBSTETRICS AND GYNECOLOGY FOUNDATION INC,,
280,43070954,MARBLEHEAD YOUTH HOCKEY ASSOCIATION INC,300.0,
281,43074745,WOMENS COMMUNITY CANCER PROJECT,,
282,43077273,MINISTRY DEVELOPMENT CENTER FOR WOMEN RELIGIOUS INC,,
283,43082050,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1990 CLASS OF,,
284,43091048,FIRST CONCERN PREGNANCY RESOURCE CENTER INC,285901.0,
285,43094016,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION AARON GUILD DAR,,
286,43095401,HARMONY INC WOMEN OF NOTE,,
287,43096386,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1989 CLASS OF,,
288,43099132,WOMENS CLUB OF NORWELL INC,,
289,43103354,ASIAN TASK FORCE AGAINST DOMESTIC VIOLENCE INC,2958341.0,
290,43103404,LIFE SAVER MINISTRIES INC,,
291,43105708,HELLENIC WOMENS CLUB INC,244765.0,121526.0
292,43105708,HELLENIC WOMENS CLUB INC,244765.0,172608.0
293,43105708,HELLENIC WOMENS CLUB INC,244765.0,122827.0
294,43106756,ARUNA PARTNERSHIP INC,171898.0,
295,43113182,ARMENIAN INTERNATIONAL WOMENS ASSOCIATION INC,98748.0,
296,43116558,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 286 000 90002395 GREENFIELD,,
297,43123255,PROJECT LIFE INC,,
298,43123474,MASSACHUSETTS ASSOCIATION OF INTERDENOMINATIONAL WIVES AND,,
299,43129115,UNITARIAN UNIVERSALIST WOMENS HERITAGE SOCIETY,,
300,43132500,WOMENS INSTITUTE FOR LEADERSHIP DEVELOPMENT INC,,
301,43132804,MOTHERS CLUB OF HADLEY INC,,9076.0
302,43132993,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 118 000 90000945 CAPE COD,,
303,43139698,BELLINGHAM GIRLS SOFTBALL ASSOCIATION BGSA,,29522.0
304,43141104,WELLESLEY COLLEGE ALUMNAE ASSOC 1991 CLASS,,
305,43143173,BETTY TAYMOR FUND FOR THE EDUCATION OF WOMEN IN POLITICS AND GVMT INC,,
306,43144053,MASSACHUSETTS BREAST CANCER COALITION INC,229572.0,
307,43148742,ANDOVER GIRLS SOFTBALL LEAGUE,,10000.0
308,43150530,YARMOUTH DENNIS YOUTH HOCKEY ASSOC INC,0.0,
309,43153196,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 901 000 90000961 SOUTH COASTAL,,
310,43154445,THE R O S E FUND INC,,
311,43156468,LA LECHE LEAGUE INTERNATIONAL INC LLL QUINCY MILTON ID 724,,
312,43158270,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC HOLLANDETTE CLUB,,
313,43161168,LOST COIN WOMANS FUND INC,,49884.0
314,43161486,COLLEGE WOMENS CLUB OF CAPE ANN,,
315,43162894,WESTON REHABILITATION ASSOCIATES INC,,
316,43163180,MOTHER CAROLINE ACADEMY AND EDUCATION CENTER,1304341.0,
317,43165640,THE AFFIRMATION CENTER INC,44000.0,
318,43165779,DENNIS MCLAUGHLIN HOUSE OF CHARLES TOWN TRADITIONAL HSING PRGM FOR WM,,
319,43169631,MA AYAN INC,,139312.0
320,43171592,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BOSTON TEA PARTY DAR,,
321,43172552,CONTINENTAL SOCIETY DAUGHTERS OF INDIAN WARS INC MASSACHUSETTS STATE SOCIETY,,
322,43176147,WELLESLEY COLLEGE ALUMNAE ASSOC 1992 CLASS,,
323,43178763,LA LECHE LEAGUE INTERNATIONAL INC LLL NORTH CENTRAL BERKSHIRES,,
324,43178923,WELLESLEY COLLEGE ALUMNAE ASSOC 1988 CLASS,,
325,43179955,HELPING OUR WOMEN INC,619643.0,
326,43180778,TEWKSBURY GIRLS SOFTBALL INCORPORATED,,0.0
327,43183563,LA LECHE LEAGUE INTERNATIONAL INC LLL ANDOVER ID 727,,
328,43192141,WELLESLEY COLLEGE ALUMNAE ASSOC 1993 CLASS,,
329,43194360,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1993 CLASS OF,,
330,43195325,PARTNERS HEALTHCARE SYSTEM INC FAULKNER BREAST CENTRE,,
331,43198788,LA DONNA MUSICALE INC,,93647.0
332,43201637,HEALTHY CHILDREN PROJECT INC,0.0,
