Unnamed: 0,EIN,NAME,STREET,CITY,STATE,ZIP_PART_1,ZIP_PART_2,totcntrbgfts
44,10561467,IGLESIA ARCA DE SALVACION INC,161 DENNIS ST,ATTLEBORO,MA,2703,2729,125780.0
45,10561478,FRIENDS OF THE HONAN ALLSTON LIBRARY INC,300 N HARVARD ST,ALLSTON,MA,2134,1530,125780.0
46,10563707,AVELINA CHARITABLE FOUNDATION INC,320 SOUTH ST,PLAINVILLE,MA,2762,1529,125780.0
47,10563874,JEWISH ALLIANCE FOR LAW AND SOCIAL ACTION INC,11 BEACON ST STE 722,BOSTON,MA,2108,3002,125780.0
48,10565223,CANTON COMMUNITY THEATRE INC,19 BLACKMAN RD,CANTON,MA,2021,2314,125780.0
49,10567051,NORTH SHORE RUGBY FOOTBALL CLUB INC,8 DERBY ST,SALEM,MA,1970,5621,125780.0
50,10567634,INFRAGARD BOSTON MEMEBERS ALLIANCE INC,PO BOX 2651,NATICK,MA,1760,20,125780.0
51,10568837,BONNEY FAMILY FOUNDATION INC,CO FCM 1881 WORCESTER ROAD 200,FRAMINGHAM,MA,1701,0,125780.0
52,10569403,HRCA BROOKLINE HOUSING 1550 BEACON PLAZA,1200 CENTRE ST,BOSTON,MA,2131,1000,125780.0
53,10569404,CENTER COMMUNITIES OF BROOKLINE INC,1200 CENTRE ST,BOSTON,MA,2131,1000,125780.0
54,10569773,ANOINTED FIRE CHURCH,777 WASHINGTON ST,DORCHESTER,MA,2124,4423,125780.0
55,10573982,FARAWAY STARS PRODUCTIONS LTD,PO BOX 2284,NANTUCKET,MA,2584,2284,125780.0
56,10578690,PLYMOUTH SOUTH PANTHERS BOOSTER CLUB INC,490 LONG POND RD,PLYMOUTH,MA,2360,2647,125780.0
57,10581411,BRIGHAM COMMUNITY HOUSE INC,20 HARTFORD ST,NEWTON,MA,2461,1517,125780.0
58,10582906,FREDERICK S THOMPSON COLLEGE SCHOLARSHIP,200 OLD LYMAN RD,SOUTH HADLEY,MA,1075,2632,125780.0
59,10583036,MICHAEL C ROTHBERG 9-11 MEMORIAL SCHOLARSHIP FUND,PO BOX 116,SHARON,MA,2067,116,125780.0
60,10588292,URBAN WILDLIFE REHABILITATION INC,146 BOWDOIN ST,SPRINGFIELD,MA,1109,4003,125780.0
61,10594911,ASHLAND YOUTH BASKETBALL INC,19 RIDGEWOOD ST,ASHLAND,MA,1721,1368,125780.0
62,10595450,VISITATION HOUSE INC,PO BOX 60115,WORCESTER,MA,1606,115,125780.0
63,10597142,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,8 BEACON STREET,BOSTON,MA,2108,3722,125780.0
64,10598057,FRIENDS OF HOLLY HILL FARM INC,236 JERUSALEM RD,COHASSET,MA,2025,1109,125780.0
65,10598494,TEN CROSS STREET CORPORATION,1301 CENTRE ST,NEWTON CENTRE,MA,2459,2448,125780.0
66,10598828,THE WESTPORT MISSION OF THE HOLY SPIRIT OF EUGENE RICHER DIT LAFLEC,34 LAUREL ST,FALL RIVER,MA,2724,3630,125780.0
67,10609687,LOWELL CAMBODIAN CHRISTIAN CHURCH,225 STEDMAN ST STE 33,LOWELL,MA,1851,2793,125780.0
68,10609688,INTERNATIONAL DRUG PREVENTION FOUNDATION INC,500 BROADWAY APT 2124,MALDEN,MA,2148,2074,125780.0
69,10613583,NORTH STAR SELF DIRECTED LEARNING FOR TEENS INC,45 AMHERST RD,SUNDERLAND,MA,1375,9450,125780.0
70,10615117,BOSTON PLEDGE INC,7 WAINWRIGHT RD UNIT 66,WINCHESTER,MA,1890,2379,125780.0
71,10620597,PLAINVILLE PARENT TEACHER ORGANIZATION INC,68 MESSENGER ST,PLAINVILLE,MA,2762,2259,125780.0
72,10623416,DEAF CHRISTIAN EVANGELISTIC ASSOCIATION INTERNATIONAL,25 SVENSON RD,SHREWSBURY,MA,1545,5747,125780.0
73,10624575,FRIENDS OF ROBBINS FARM PARK INC,PO BOX 750013,ARLINGTON,MA,2476,0,125780.0
74,10624865,NEHI INC,50 MILK STREET 16TH FLOOR,BOSTON,MA,2109,5002,125780.0
75,10627659,URBAN FRONTIERS MISSION,24 A MARGIN STREET,LYNN,MA,1905,1990,125780.0
76,10628078,HOLYOKE COMMUNITY MEDIA INC,536 DWIGHT ST STE 1,HOLYOKE,MA,1040,5019,125780.0
77,10628197,HIGH PLAIN ELEMENTARY PARENT TEACHER ORGANIZATION INC,333 HIGH PLAIN RD,ANDOVER,MA,1810,3264,125780.0
78,10628266,BUILDING FUTURES INC,630A PLANTATION ST,WORCESTER,MA,1605,2038,125780.0
79,10632121,ASSOCIACAO DE SOLIDAREDADE SOCIAL INC,17 PROSPECT ST,BROCKTON,MA,2301,2975,125780.0
80,10635801,P O W E R INTERNATIONAL,26 CLIFTWOOD ST,SPRINGFIELD,MA,1108,2602,125780.0
81,10641563,TAUNTON AREA BABE RUTH LEAGUE INC,391 W WATER ST,TAUNTON,MA,2780,4899,125780.0
82,10642622,MARINE CORPS LEAGUE,PO BOX 336,SOUTHBRIDGE,MA,1550,336,125780.0
83,10647374,NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,308 CONGRESS ST FL 5,BOSTON,MA,2210,1015,125780.0
84,10650369,WENHAM FIRE COMPANY INC,140 MAIN ST,WENHAM,MA,1984,1520,125780.0
85,10655670,SOUTH CHATHAM VILLAGE ASSOCIATION INC,PO BOX 261,SOUTH CHATHAM,MA,2659,261,125780.0
86,10657466,WILLIE BYERS MEMORIAL SCHOLARSHIP FUND,915 LIVINGSTON ST,TEWKSBURY,MA,1876,1356,125780.0
87,10658160,MISSION MARANTHA INC,3 TAFT RD,WILMINGTON,MA,1887,2818,125780.0
88,10658230,PONN FAMILY FOUNDATION,20 WILLIAM STREET,WELLESLEY,MA,2481,4103,125780.0
89,10660648,CREATIVE OPPORTUNITIES UNLIMITED,19 RINDGE AVE APT 2,CAMBRIDGE,MA,2140,1934,125780.0
90,10660817,FINCA VIGIA FOUNDATION INC,25 CHANNEL CENTER 1003,BOSTON,MA,2210,3419,125780.0
91,10665790,COUNCIL OF STATE ARCHIVISTS,6 LIBERTY SQUARE SUITE 95366,BOSTON,MA,2109,5800,125780.0
92,10667451,YO INC,20 DORCAR RD,NEWTON,MA,2467,3021,125780.0
93,10669290,BELCHERTOWN LAND TRUST INC,251 COLD SPRING RD,BELCHERTOWN,MA,1007,9853,125780.0
94,10672105,ALLIANCE OF CHESAPEAKE BAY INC,144 TURNPIKE RD STE 220,SOUTHBOROUGH,MA,1772,2139,125780.0
95,10672424,NASHOBA LEARNING GROUP INC,10 OAK PARK DR,BEDFORD,MA,1730,1414,125780.0
96,10675137,SHAWSHEEN SCHOOL PARENT TEACHER ORGANIZATION,18 MAGNOLIA AVE,ANDOVER,MA,1810,2552,125780.0
97,10676306,CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC,COMMERCE PLACE 350 MAIN ST STE 31,MALDEN,MA,2148,0,125780.0
98,10678478,NORTHBOROUGH PATROLMANS ASSOCIATION INC,211 MAIN ST,NORTHBOROUGH,MA,1532,1625,125780.0
99,10679061,SMF FOUNDATION,163 RANGELEY RD,CHESTNUT HILL,MA,2467,3143,125780.0
100,10681110,CENTRAL PARENTS ORGANIZATION,790 OAKHILL AVE,ATTLEBORO,MA,2703,7325,125780.0
101,10682176,STEPH KENNEY CREATIVE ARTS SCHOLARSHIP FUND,113 LIVINGSTON CIR,NEEDHAM,MA,2492,4144,125780.0
102,10688934,PRESENTATION OF MARY ACADEMY INC,209 LAWRENCE ST,METHUEN,MA,1844,3849,125780.0
103,10689523,JOSIAH QUINCY SCHOOL ASSOCIATION,885 WASHINGTON STREET,BOSTON,MA,2111,1416,125780.0
104,10692572,NEMASKET RIVER PRODUCTIONS INC,PO BOX 269,MIDDLEBOROUGH,MA,2346,269,125780.0
105,10694293,SPRAGUE SCHOOL PARENT TEACHER ORGANIZATION INC,401 SCHOOL ST,WELLESLEY,MA,2482,4724,125780.0
106,10694629,MALCOLM X-ELLA L LITTLE COLLINS FAMILY FOUNDATION INC,72 DALE ST APT 3,ROXBURY,MA,2119,1660,125780.0
107,10697366,INTERNATIONAL INSTITUTE FOR JUSTICE AND DEVELOPMENT INC,PO BOX 170594,BOSTON,MA,2117,604,125780.0
108,10698913,NEW ENGLAND COLLEGIATE BASEBALL LEAGUE INC,PO BOX 540,NORTH ADAMS,MA,1247,540,125780.0
109,10699762,COMPASSIONATE INTERNATIONAL FELLOWSHIP INC,3620 MYSTIC VALLEY PKWY APT E406,MEDORD,MA,2155,5756,125780.0
110,10700751,TRUTH FUND I INC,1 PRESIDENTIAL WAY STE 103,WOBURN,MA,1801,1071,125780.0
111,10704932,BACKPACKS FOR KIDS FOUNDATION,PO BOX 232,DOVER,MA,2030,232,125780.0
112,10710619,WESTWOOD MONTESSORI SCHOOL INC,738 HIGH ST,WESTWOOD,MA,2090,2503,125780.0
113,10711756,JERICHO CIRCLE PROJECT INC,186 ALEWIFE BROOK PARKWAY STE 1102,CAMBRIDGE,MA,2138,1121,125780.0
114,10715375,METROWEST MEDICAL CENTER MEDICAL STAFF INC,115 LINCOLN ST,FRAMINGHAM,MA,1702,6358,125780.0
115,10719847,SONS OF ITALY IN AMERICA,85 LAKE ST,HAVERHILL,MA,1832,1113,125780.0
116,10722905,NORTH ATTLEBORO SWIMMING,1 WILSON W WHITTY WAY,N ATTLEBORO,MA,2760,2768,125780.0
117,10724916,CHURCH OF GOD IN CHRIST,2 OTISFIELD ST,DORCHESTER,MA,2121,1820,125780.0
118,10724924,FRENCH PARK FUND INC,61 PROSPECT LAKE RD,GT BARRINGTON,MA,1230,9003,125780.0
119,10726924,LOAVES & FISHES FOOD PANTRY INC,PO BOX 1,AYER,MA,1432,1,125780.0
120,10731280,SUDBURY YOUTH BASKETBALL,PO BOX 887,SUDBURY,MA,1776,887,125780.0
121,10733873,CHEVALIER THEATRE ORGAN SOCIETY,93 MITCHELL AVE,MEDFORD,MA,2155,1710,125780.0
122,10734139,NEWTON NORTH HIGH SCHOOL PARENT TEACHER STUDENT ORGANIZATION,457 WALNUT ST,NEWTON,MA,2460,2224,125780.0
123,10734150,FRIENDS OF THE COMMONWEALTH MUSEUM INC,220 MORRISSEY BLVD COLUMBIA POINT,BOSTON,MA,2125,0,125780.0
124,10734342,CRAIG DEGISO MEMORIAL SCHOLARSHIP FUND INC,3 LECLAIR DR,HINGHAM,MA,2043,4872,125780.0
125,10737529,KANE ELEMENTARY SCHOOL PTO INC,520 FARM RD,MARLBOROUGH,MA,1752,2760,125780.0
126,10737533,WHITCOMB SCHOOL PTO INC,25 UNION ST,MARLBOROUGH,MA,1752,2331,125780.0
127,10737537,RICHER ELEMENTARY SCHOOL PTO INC,80 FOLEY RD,MARLBOROUGH,MA,1752,1922,125780.0
128,10739760,CHERISH THE CHILDREN THE KAREN D EON FUND,330 LYNNWAY,LYNN,MA,1901,1706,125780.0
129,10747810,COMMISSIONERS COUNCIL INC,TWO SALEM GREEN,SALEM,MA,1970,3725,125780.0
130,10749726,LIVER INSTITUTE & FOUNDATION FOR EDUC & RESEARCH NJ NON-PROFIT CORP,59 CONSTELLATION WHARF,CHARLESTOWN,MA,2129,4227,125780.0
131,10752786,G ZACHARY GUND FOUNDATION,30 MONUMENT SQ STE 220,CONCORD,MA,1742,1851,125780.0
132,10755334,MASSACHUSETTS QUARTER HORSE ASSOCIATION CORP,17 ANNABEL ST,BOSTON,MA,2125,3423,125780.0
133,10758438,NEW ENGLAND SOCIETY OF INTERVENTIONAL RADIOLOGY INC,111 WARREN AVE,BOSTON,MA,2116,6103,125780.0
134,10760702,UNIVERSITY OF MASSACHUSETTS,PO BOX 96,WILLIAMSBURG,MA,1096,96,125780.0
135,10765498,LITTLE LEAGUE BASEBALL INC,60 NATHANIAL WAY BOX 307,BELCHERTOWN,MA,1007,9335,125780.0
136,10766737,NINOS DE VERACRUZ MEXICO,373 SOMERVILLE AVE APT C,SOMERVILLE,MA,2143,2947,125780.0
137,10775562,AQUINNAH-GAY HEAD COMMUNITY ASSOCIATION INC,PO BOX 494,AQUINNAH,MA,2535,494,125780.0
138,10779814,LEADERSHIP TRANSFORMATIONS INC,12 BROOKSIDE AVE,LEXINGTON,MA,2421,7115,125780.0
139,10779819,KIDS GEAR FOR BASEBALL INC,46 OVERLOOK DR,SOUTHBOROUGH,MA,1772,1218,125780.0
140,10780670,SWEDISH AMERICAN CHAMBER OF COMMERCE OF NEW ENGLAND INC,1 BROADWAY,CAMBRIDGE,MA,2142,1100,125780.0
141,10782217,SHAWN M NASSANEY MEMORIAL FOUNDATION,PO BOX 911,MILLVILLE,MA,1529,911,125780.0
142,10782573,ADVISORS CHARITABLE GIFT FUND INC,12 GILL ST STE 2600,WOBURN,MA,1801,1729,125780.0
143,10785641,JACK WOLFE MEMORIAL SCHOLARSHIP,27 HAZEL ST,METHUEN,MA,1844,4221,125780.0
144,10785854,WEST SPRINGFIELD VETERANS COUNCIL,42 SALEM ST,W SPRINGFIELD,MA,1089,2232,125780.0
145,10791361,MINISTERIO EVANGELICO RIOS DE AGUA VIVA,84 STATE STREET,BOSTON,MA,2109,2202,125780.0
146,10801237,SAINT JOSEPHS ABBEY RESIDENT CARE FACILITY,167 N SPENCER RD,SPENCER,MA,1562,1232,125780.0
147,10801629,ALL SEASONS THEATRE COMPANY INCORPORATED,27A CONWELL ST APT 5,PROVINCETOWN,MA,2657,1591,125780.0
148,10805808,SCREAM USA,31 BENSON RD,NORTHBRIDGE,MA,1534,1148,125780.0
149,10810884,KNOX TRAIL SNO RIDERS INC,PO BOX 363,EAST OTIS,MA,1029,363,125780.0
150,10814383,SOMERVILLE OPEN STUDIOS INC,58 DAY ST UNIT 442115,SOMERVILLE,MA,2144,4470,125780.0
151,10815503,PLYMOUTH BAY HOUSING CORPORATION,130 COURT ST,PLYMOUTH,MA,2360,8728,125780.0
152,10817065,STRATEGIC MARKET INITIATIVE,182 SUMMER ST UNIT 248,KINGSTON,MA,2364,1277,125780.0
153,10817343,PFACTORY INC,7 FALMOUTH RD,ARLINGTON,MA,2474,2219,125780.0
154,10818509,BELMONT CHURCH OF GOD,25 MARLBORO ST,BELMONT,MA,2478,3657,125780.0
155,10819714,GARDEN CLUB FEDERATION OF MASSACHUSETTS INC,PO BOX 85,WILLIAMSTOWN,MA,1267,85,125780.0
156,10824277,BILLERICA CAT CARE COALITION,PO BOX 141,N BILLERICA,MA,1862,141,125780.0
157,10828083,E3 INITIATIVE FOUNDATION USA,40 HARLOWS LNDG,PLYMOUTH,MA,2360,1300,125780.0
158,10832318,FIREBIRD ENSEMBLE INC,73 RUSSELL RD,WELLESLEY,MA,2482,4327,125780.0
159,10835303,HANSON YOUTH SOCCER INC,PO BOX 542,HANSON,MA,2341,542,125780.0
160,10839134,BOSTON SHARKS INC,PO BOX 366057,HYDE PARK,MA,2136,19,125780.0
161,10841650,FRIENDS OF THE MILFORD UPPER CHARLES TRAIL,52 MAIN STREET,MILFORD,MA,1757,2611,125780.0
162,10842491,OLD ROCHESTER COMMUNITY TELEVISION INC,135 MARION RD,MATTAPOISETT,MA,2739,1621,125780.0
163,10845380,HEALING HEART HOSPITALITY HOUSE,85 LAKE AVE N,WORCESTER,MA,1605,2320,125780.0
164,10845963,PEMBROKE TITANS FOOTBALL & CHEERLEADING INC,PO BOX 1097,PEMBROKE,MA,2359,1097,125780.0
165,10850218,THE JOAN SHAFRAN AND RON HAIMES FOUNDATION INC,211 TREMONT ST APT 5,SOMERVILLE,MA,2143,4162,125780.0
166,10851252,PROSPECT HILL ACADEMY CHARTER SCHOOL FOUNDATION INC,50 ESSEX ST,CAMBRIDGE,MA,2139,2602,125780.0
167,10857047,NAMI CAPE ANN,43 GLOUCESTER AVE STE 2B,GLOUCESTER,MA,1930,2280,125780.0
168,10859889,POP WARNER LITTLE SCHOLARS INC,PO BOX 1685,BROCKTON,MA,2303,1685,125780.0
169,10864115,LITTLE LEAGUE BASEBALL INC,PO BOX 2118,ABINGTON,MA,2351,618,125780.0
170,10866019,IPSWICH MUSIC ART & DRAMA ASSOCIATION INC,PO BOX 449,IPSWICH,MA,1938,449,125780.0
171,10870422,MPEG ACCESS INC,PO BOX 362,MILTON,MA,2186,3,125780.0
172,10871147,SOUTH SHORE SDA SCHOOL,250 WASHINGTON ST,BRAINTREE,MA,2184,3220,125780.0
173,10873923,JDR JR MEMORIAL FOUNDATION,19 GANNETT RD,SCITUATE,MA,2066,1608,125780.0
174,10874157,ATHENA EDUCATIONAL RESOURCES,16 HAROLD ST,FLORENCE,MA,1062,1030,125780.0
175,10875133,TYRINGHAM AFFORDABLE HOUSING ASSOCIATION INC,PO BOX 406,TYRINGHAM,MA,1264,406,125780.0
176,10882153,GAMWELL DEVELOPMENT CORPORATION,395 SOUTH ST,PITTSFIELD,MA,1201,6803,125780.0
177,10882163,AYER ELDERLY HOUSING PARTNERSHIP INC,18 POND STREET,AYER,MA,1432,1656,125780.0
178,10882170,TOP HOUSE INC,1 SOUTHSIDE RD,DANVERS,MA,1923,1408,125780.0
179,10884692,SLOW FOOD USA INC,80 JOSEPHINE AVE 2,SOMERVILLE,MA,2144,2207,125780.0
180,10886953,CAPE COMMUNITY ORCHESTRA,PO BOX 253,HARWICH,MA,2645,253,125780.0
181,10887454,FRIENDS OF THE ATHOL COUNCIL ON AGING,584 MAIN STREET,ATHOL,MA,1331,1976,125780.0
182,10889060,ANGEL FLIGHT OF NEW ENGLAND INC,492 SUTTON ST,NORTH ANDOVER,MA,1845,1505,125780.0
183,10894322,BELCHER TOWN LACROSSE ASSOCIATION,235 STEBBINS ST,BELCHERTOWN,MA,1007,9345,125780.0
184,10897294,HEATH FIREFIGHTERS ASSOCIATION INC,124 BRANCH ROAD,HEATH,MA,1346,0,125780.0
185,10897451,DEPARTMENT OF MASSACHUSETTS VFW AUXILIARY,193 DEAN ST,NORWOOD,MA,2062,4542,125780.0
186,10900840,THE HONG KONG ASSOCIATION OF MASSACHUSETTS INC,31 FAIRWAY CIR,NATICK,MA,1760,2562,125780.0
187,10904735,HYDE PARK ART ASSOCIATION INC,26 CENTRAL AVE,HYDE PARK,MA,2136,2946,125780.0
188,10908761,OPEN EDUCATION GLOBAL INCORPORATED,60 THOREAU STREET SUITE 238,CONCORD,MA,1742,2456,125780.0
189,10910861,FRIENDS OF THE HOLYOKE COUNCIL ON AGING INC,291 PINE ST,HOLYOKE,MA,1040,3932,125780.0
190,10911867,GRAND CHAPTER OF MA ORDER OF THE EASTERN STAR,52 SEMINOLE DR,NORTH ADAMS,MA,1247,4292,125780.0
191,10921556,ENRICHED ADULT DAY CARE INC,1056 COURT ST,BROCKTON,MA,2302,2635,125780.0
192,10924289,GARDEN CLUB FEDERATION OF MASSACHUSETTS INC,25 HASTINGS RD,HUDSON,MA,1749,2880,125780.0
193,10925307,JUSTICE HOUSE OF PRAYER BOSTON INC,19 NEWTON AVE,HAVERHILL,MA,1830,2233,125780.0
194,10930274,BOSTON JOYFUL CHURCH,50 QUINCY ST,CAMBRIDGE,MA,2138,3013,125780.0
195,10934878,DISABLED AMERICAN VETERANS AUXILIARY INC,30 FOSTER RD,BRAINTREE,MA,2184,7814,125780.0
196,10935248,DUXBURY INTERFAITH COUNCIL,PO BOX 1161,DUXBURY,MA,2331,1161,125780.0
197,10935340,EMPOWERMENT CHRISTIAN CHURCH INC,PO BOX 240698,DORCHESTER,MA,2124,12,125780.0
198,10937348,SPIRITUAL ASSEMBLY OF THE BAHAIS OF HADLEY TOWN,11 HIGH MEADOW RD,HADLEY,MA,1035,9764,125780.0
199,10940317,LEERINK FAMILY FOUNDATION INC,1 FEDERAL ST FL 37,BOSTON,MA,2110,2028,125780.0
200,10941876,SPRINGFIELD HOCKEY HERITAGE SOCIETY,90 FRONT STREET,WEST SPRINGFIELD,MA,1089,0,125780.0
201,10946023,ZEBRAFISH HUSBANDRY ASSOCIATION INC,152 ELM ST,AMESBURY,MA,1913,3422,125780.0
202,10959325,GALAXY FOUNDATION INC,1091 WATER ST,FITCHBURG,MA,1420,7237,125780.0
203,10959428,GROW FOOD NORTHAMPTON INC,221 PINE ST STE 349,FLORENCE,MA,1062,1289,125780.0
204,10961805,BOSTON WOMENS RUGBY FC CORPORATION,12 STONEHOLM STREET,BOSTON,MA,2115,2955,125780.0
205,10965980,WORCESTER SQUARE AREA NEIGHBORHOOD ASSOCIATION,35 WORCESTER SQUARE,BOSTON,MA,2118,2916,125780.0
206,10967242,LATVIAN DIASPORA MUSEUM FUND INC,CO SARMA LIEPINS 27 HIGHLAND RD,BOXFORD,MA,1921,0,125780.0
207,10972861,HARVARD WOMANS PHILANTHROPIC CLUB INC,15 STILL RIVER RD,HARVARD,MA,1451,1330,125780.0
208,10974821,NEW LIFE CHRISTIAN CENTER,47 SPRUCE ST,CHELSEA,MA,2150,2345,125780.0
209,12930736,ALTERNATIVES A CRISIS PREGNANCY CENTER,PO BOX 344,GREENFIELD,MA,1302,344,125780.0
210,13253364,SPONTANEOUS CELEBRATIONS INC,45 DANFORTH ST,JAMAICA PLAIN,MA,2130,1847,125780.0
211,16008591,RUTH A ELMORE TRUST,210 MASSACHUSETTS AVE P02-02,BOSTON,MA,2115,3195,125780.0
212,16009168,KING SPRUCE COMPANY,155 FEDERAL ST STE 1602,BOSTON,MA,2110,1556,125780.0
213,16014081,UNITE HERE,33 HARRISON AVE,BOSTON,MA,2111,2008,125780.0
214,16016407,FRYEBURG NEW CHURCH ASSEMBLY,61 CLARK LN,WALTHAM,MA,2451,1884,125780.0
215,16018556,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,8 BEACON STREET,BOSTON,MA,2108,3722,125780.0
216,16018986,INTERNATIONAL RIGHT OF WAY ASSOCIATION,32 EMERSON PL,NEEDHAM,MA,2492,2849,125780.0
217,16019033,MAX KAGAN FAMILY FOUNDATION,9 RAVEN LN,GLOUCESTER,MA,1930,4118,125780.0
218,16021199,BOSTON NATIONAL RAILWAY HISTORICAL SOCIETY INC,6 WENDELL ST,LAWRENCE,MA,1841,3422,125780.0
